source_version,source_step_index,source_step_id,source_event_indices,source_event_times_s,source_actual_recording_times_s,source_command_start_sim_times_s,source_atomic_batch_ids,source_atomic_event,plan_segment_index,plan_event_indices,commands,servo_target_deg,wheel_requested_target_rad_s,wheel_applied_target_rad_s,runtime_150_start_s,runtime_150_end_s,runtime_150_duration_s,runtime_150_servo_duration_s,runtime_150_wheel_duration_s,runtime_150_explicit_hold_s,counterfactual_30_start_s,counterfactual_30_end_s,counterfactual_30_duration_s,delta_30_minus_150_start_s,delta_30_minus_150_end_s,delta_30_minus_150_duration_s,concurrent_servo_wheel,expected_wheel_displacement_rad,command_provenance
v003_20260805_224517_157723_manual,1,step_001_recorded_height_050mm_dur_6.20s,[0],[3.599999999996726],[3.599999999996726],[465.91666666640725],[],False,0,[0],"[""servo rear_left_hip 19.6""]","{""rear_left_hip"":19.6}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,0.13066666666666668,0.13066666666666668,0.13066666666666668,0.0,0.0,0.0,0.6533333333333334,0.6533333333333334,0.0,0.5226666666666667,0.5226666666666667,False,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 19.6"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":0,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":1}]"
v003_20260805_224517_157723_manual,1,step_001_recorded_height_050mm_dur_6.20s,[1],[3.999999999996362],[3.999999999996362],[466.3166666664069],[],False,1,[1],"[""servo rear_left_hip 25.9""]","{""rear_left_hip"":25.9}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.13066666666666668,0.17266666666666666,0.04199999999999998,0.04199999999999998,0.0,0.0,0.6533333333333334,0.8633333333333333,0.20999999999999985,0.5226666666666667,0.6906666666666667,0.16799999999999987,False,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 25.9"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":1,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":1}]"
v003_20260805_224517_157723_manual,1,step_001_recorded_height_050mm_dur_6.20s,[2],[4.19999999999618],[4.19999999999618],[466.5166666664067],[],False,2,[2],"[""servo rear_left_hip 28.1""]","{""rear_left_hip"":28.1}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.17266666666666666,0.18733333333333335,0.014666666666666689,0.014666666666666685,0.0,0.0,0.8633333333333333,0.9366666666666668,0.07333333333333347,0.6906666666666667,0.7493333333333334,0.058666666666666784,False,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 28.1"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":2,""source_event_index"":2,""source_expanded_index"":0,""source_step_index"":1}]"
v003_20260805_224517_157723_manual,2,step_002_recorded_height_050mm_dur_5.40s,[0],[2.399999999997817],[2.399999999997817],[482.58333333305876],[],False,3,[3],"[""servo front_right_hip 12.2""]","{""front_right_hip"":12.2}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.18733333333333335,0.26866666666666666,0.08133333333333331,0.08133333333333333,0.0,0.0,0.9366666666666668,1.3433333333333333,0.4066666666666665,0.7493333333333334,1.0746666666666667,0.3253333333333332,False,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip 12.2"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":3,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":2}]"
v003_20260805_224517_157723_manual,2,step_002_recorded_height_050mm_dur_5.40s,[1],[2.7999999999974534],[2.7999999999974534],[482.9833333330584],[],False,4,[4],"[""servo front_right_hip 36.5""]","{""front_right_hip"":36.5}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.26866666666666666,0.43066666666666664,0.16199999999999998,0.162,0.0,0.0,1.3433333333333333,2.1533333333333333,0.81,1.0746666666666667,1.7226666666666666,0.6480000000000001,False,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip 36.5"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":4,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":2}]"
v003_20260805_224517_157723_manual,2,step_002_recorded_height_050mm_dur_5.40s,[2],[3.1999999999970896],[3.1999999999970896],[483.38333333305803],[],False,5,[5],"[""servo front_right_hip 43.9""]","{""front_right_hip"":43.9}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.43066666666666664,0.48,0.04933333333333334,0.049333333333333326,0.0,0.0,2.1533333333333333,2.4,0.2466666666666666,1.7226666666666666,1.92,0.19733333333333325,False,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip 43.9"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":5,""source_event_index"":2,""source_expanded_index"":0,""source_step_index"":2}]"
v003_20260805_224517_157723_manual,3,step_003_recorded_height_050mm_dur_17.40s,[0],[2.5999999999976353],[2.5999999999976353],[500.7833333330422],[],False,6,[6],"[""wheel all 0.300""]",{},"{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}","{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}",0.48,13.479999999988234,12.999999999988233,0.0,12.999999999988233,0.0,2.4,15.399999999988234,12.999999999988233,1.92,1.92,0.0,False,"{""front_left_ankle"":3.89999999999647,""front_right_ankle"":3.89999999999647,""rear_left_ankle"":3.89999999999647,""rear_right_ankle"":3.89999999999647}","[{""base_command"":""wheel all 0.300"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":6,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":3}]"
v003_20260805_224517_157723_manual,3,step_003_recorded_height_050mm_dur_17.40s,[1],[15.599999999985869],[15.599999999985869],[513.7833333330304],[],False,7,[7],"[""wheel stop""]",{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",13.479999999988234,13.479999999988234,0.0,0.0,0.0,0.0,15.399999999988234,15.399999999988234,0.0,1.92,1.92,0.0,False,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""wheel stop"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":7,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":3}]"
v003_20260805_224517_157723_manual,4,step_004_recorded_height_050mm_dur_10.13s,[0],[2.9333333333306655],[2.9333333333306655],[533.3833333330126],[],False,8,[8],"[""servo front_right_knee 17.3""]","{""front_right_knee"":17.3}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",13.479999999988234,13.595333333321568,0.11533333333333395,0.11533333333333334,0.0,0.0,15.399999999988234,15.9766666666549,0.5766666666666662,1.92,2.381333333333332,0.46133333333333226,False,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_knee 17.3"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":8,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":4}]"
v003_20260805_224517_157723_manual,4,step_004_recorded_height_050mm_dur_10.13s,[1],[3.3333333333303017],[3.3333333333303017],[533.7833333330123],[],False,9,[9],"[""servo front_right_knee 24.7""]","{""front_right_knee"":24.7}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",13.595333333321568,13.644666666654901,0.04933333333333323,0.049333333333333326,0.0,0.0,15.9766666666549,16.223333333321566,0.24666666666666615,2.381333333333332,2.578666666666665,0.19733333333333292,False,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_knee 24.7"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":9,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":4}]"
