source_version,source_step_index,source_event_indices,decoded_segment_index,command_start_s,command_end_s,commands,servo_target_deg,wheel_target_rad_s,concurrent,servo_duration_s,wheel_duration_s,explicit_hold_s,final_segment_duration_s,expected_wheel_displacement_rad,command_provenance
v007_20260806_190636_100857_manual,1,[0],0,0.0,0.08133333333333333,"[""servo rear_left_hip 12.2""]","{""rear_left_hip"":12.2}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.08133333333333333,0.0,0.0,0.08133333333333333,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 12.2"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":0,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":1}]"
v007_20260806_190636_100857_manual,1,[1],1,0.08133333333333333,0.16599999999999998,"[""servo rear_left_hip 24.9""]","{""rear_left_hip"":24.9}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.08466666666666667,0.0,0.0,0.08466666666666665,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 24.9"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":1,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":1}]"
v007_20260806_190636_100857_manual,2,[0],2,0.16599999999999998,15.165999999781722,"[""wheel all 0.300""]",{},"{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}",False,0.0,14.999999999781721,0.0,14.999999999781721,"{""front_left_ankle"":4.499999999934516,""front_right_ankle"":4.499999999934516,""rear_left_ankle"":4.499999999934516,""rear_right_ankle"":4.499999999934516}","[{""base_command"":""wheel all 0.300"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":2,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":2}]"
v007_20260806_190636_100857_manual,2,[1],3,15.165999999781722,15.165999999781722,"[""wheel stop""]",{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.0,0.0,0.0,0.0,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""wheel stop"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":3,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":2}]"
v007_20260806_190636_100857_manual,3,[0],4,15.165999999781722,15.238666666448388,"[""servo front_right_knee 10.9""]","{""front_right_knee"":10.9}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.07266666666666667,0.0,0.0,0.07266666666666666,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_knee 10.9"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":4,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":3}]"
v007_20260806_190636_100857_manual,3,[1],5,15.238666666448388,15.281333333115056,"[""servo front_right_knee 17.3""]","{""front_right_knee"":17.3}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.04266666666666667,0.0,0.0,0.0426666666666673,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_knee 17.3"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":5,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":3}]"
v007_20260806_190636_100857_manual,3,[2],6,15.281333333115056,15.344666666448388,"[""servo front_right_knee 26.8""]","{""front_right_knee"":26.8}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.06333333333333334,0.0,0.0,0.06333333333333258,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_knee 26.8"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":6,""source_event_index"":2,""source_expanded_index"":0,""source_step_index"":3}]"
v007_20260806_190636_100857_manual,3,[3],7,15.344666666448388,15.379999999781722,"[""servo front_right_knee 32.1""]","{""front_right_knee"":32.1}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.035333333333333335,0.0,0.0,0.03533333333333388,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_knee 32.1"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":7,""source_event_index"":3,""source_expanded_index"":0,""source_step_index"":3}]"
v007_20260806_190636_100857_manual,3,[4],8,15.379999999781722,15.387333333115055,"[""servo front_right_knee 33.2""]","{""front_right_knee"":33.2}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.007333333333333343,0.0,0.0,0.007333333333333414,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_knee 33.2"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":8,""source_event_index"":4,""source_expanded_index"":0,""source_step_index"":3}]"
v007_20260806_190636_100857_manual,3,[5],9,15.387333333115055,15.393999999781721,"[""servo front_right_knee 34.2""]","{""front_right_knee"":34.2}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.006666666666666667,0.0,0.0,0.0066666666666659324,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_knee 34.2"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":9,""source_event_index"":5,""source_expanded_index"":0,""source_step_index"":3}]"
v007_20260806_190636_100857_manual,3,[6],10,15.393999999781721,15.415333333115054,"[""servo front_right_knee 37.4""]","{""front_right_knee"":37.4}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.021333333333333305,0.0,0.0,0.02133333333333276,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_knee 37.4"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":10,""source_event_index"":6,""source_expanded_index"":0,""source_step_index"":3}]"
v007_20260806_190636_100857_manual,3,[7],11,15.415333333115054,15.45399999978172,"[""servo front_right_hip -5.8""]","{""front_right_hip"":-5.8}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.03866666666666667,0.0,0.0,0.03866666666666596,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip -5.8"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":11,""source_event_index"":7,""source_expanded_index"":0,""source_step_index"":3}]"
v007_20260806_190636_100857_manual,3,[8],12,15.45399999978172,15.46799999978172,"[""servo front_right_hip -7.9""]","{""front_right_hip"":-7.9}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.014000000000000004,0.0,0.0,0.013999999999999346,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip -7.9"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":12,""source_event_index"":8,""source_expanded_index"":0,""source_step_index"":3}]"
v007_20260806_190636_100857_manual,4,[0],13,15.46799999978172,15.55999999978172,"[""servo rear_left_hip 11.1""]","{""rear_left_hip"":11.1}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.092,0.0,0.0,0.09200000000000053,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 11.1"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":13,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":4}]"
v007_20260806_190636_100857_manual,4,[1],14,15.55999999978172,15.60199999978172,"[""servo rear_left_hip 4.8""]","{""rear_left_hip"":4.8}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.041999999999999996,0.0,0.0,0.041999999999999815,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 4.8"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":14,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":4}]"
v007_20260806_190636_100857_manual,5,[0],15,15.60199999978172,20.801999999706048,"[""wheel all 0.300""]",{},"{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}",False,0.0,5.19999999992433,0.0,5.199999999924328,"{""front_left_ankle"":1.5599999999772989,""front_right_ankle"":1.5599999999772989,""rear_left_ankle"":1.5599999999772989,""rear_right_ankle"":1.5599999999772989}","[{""base_command"":""wheel all 0.300"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":15,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":5}]"
v007_20260806_190636_100857_manual,5,[1],16,20.801999999706048,20.801999999706048,"[""wheel stop""]",{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.0,0.0,0.0,0.0,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""wheel stop"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":16,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":5}]"
v007_20260806_190636_100857_manual,6,[0],17,20.801999999706048,20.89133333303938,"[""servo front_left_knee -13.4""]","{""front_left_knee"":-13.4}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.08933333333333333,0.0,0.0,0.08933333333333238,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_left_knee -13.4"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":17,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":6}]"
