sim_time_s,sim_step,source_step,command_cursor,segment_cursor,event_cursor,scheduler_state,base_x_m,base_y_m,base_z_m,base_roll_rad,base_pitch_rad,base_yaw_rad,robot_state_finite,active_contact_count_available,geometry_support_candidate_count,stability_state,joint_limit_violation
1.5666666666666635,188,1,0,0,0,PREPARING,-0.003989968448877335,-0.000993184745311737,0.09901051968336105,-3.8795075004099296e-05,-0.012018071330770567,0.0030498701370338887,True,False,4,stable,False
1.63333333333333,196,1,0,0,0,PREPARING,-0.004020538181066513,-0.0009933039546012878,0.09900183975696564,-3.801701551617001e-05,-0.012015386625265804,0.003050028860425154,True,False,4,stable,False
1.6999999999999964,204,1,1,0,1,PLAYING,-0.0039978958666324615,-0.0007509514689445496,0.09833478182554245,-0.0025133674434643016,-0.014977838822998437,0.0030910287510715353,True,False,4,recoverable,False
1.7666666666666628,212,1,1,0,1,PLAYING,-0.0043872203677892685,-0.00036847591400146484,0.09769771248102188,-0.006450955137326205,-0.018350044493352015,0.003162824438139699,True,False,4,recoverable,False
1.8333333333333293,220,1,2,1,2,PLAYING,-0.004919299855828285,0.0002061501145362854,0.09694943577051163,-0.012403931490633454,-0.02308862578895466,0.0032944802436213256,True,False,4,recoverable,False
1.8999999999999957,228,1,2,1,2,PLAYING,-0.0056051407009363174,0.0009576678276062012,0.09606966376304626,-0.02024914881044458,-0.02906280964701974,0.003508458519740235,True,False,3,recoverable,False
1.9666666666666621,236,1,3,2,3,PLAYING,-0.006238805130124092,0.0018808543682098389,0.09506018459796906,-0.03000963370278075,-0.03641482144042393,0.003855886852929602,True,False,3,recoverable,False
2.0333333333333288,244,1,3,2,3,PLAYING,-0.007184671238064766,0.0028396695852279663,0.09402221441268921,-0.04024028976388286,-0.04362610378188628,0.0042605281889090225,True,False,2,recoverable,False
2.099999999999995,252,1,3,2,3,PLAYING,-0.008068162947893143,0.003825470805168152,0.09292547404766083,-0.05089159041545366,-0.05125497855509443,0.004775500279399915,True,False,2,recoverable,False
2.1666666666666616,260,1,4,3,4,PLAYING,-0.008823532611131668,0.005029954016208649,0.09160729497671127,-0.06409370850230138,-0.06118647932187037,0.005549584793256518,True,False,2,recoverable,False
2.233333333333328,268,1,4,3,4,PLAYING,-0.009597627446055412,0.006308063864707947,0.090174101293087,-0.07837258356083555,-0.07193584393014865,0.00652269290747596,True,False,2,recoverable,False
2.2999999999999945,276,1,5,4,5,PLAYING,-0.010718075558543205,0.008001945912837982,0.08819536864757538,-0.0977425340899739,-0.08645943515081775,0.008084558696173501,True,False,2,recoverable,False
2.366666666666661,284,1,5,4,5,PLAYING,-0.012314293533563614,0.010078191757202148,0.0856505036354065,-0.12227007522625945,-0.10452772351265395,0.010442257125111484,True,False,2,recoverable,False
2.4333333333333274,292,1,6,5,6,PLAYING,-0.014231551438570023,0.0125136598944664,0.08245014399290085,-0.1522945450248265,-0.1264655627354061,0.013913475085738251,True,False,2,recoverable,False
2.499999999999994,300,2,7,6,7,PLAYING,-0.015944261103868484,0.015854619443416595,0.07759203016757965,-0.19634455073546705,-0.1583121861283434,0.02009060166408926,True,False,2,recoverable,False
2.56666666666666,308,2,7,6,7,PLAYING,-0.018401186913251877,0.020069532096385956,0.07140389084815979,-0.25344847291515293,-0.1977084788277761,0.03125084647736287,True,False,3,recoverable,False
2.6333333333333266,316,2,7,6,7,PLAYING,-0.017741955816745758,0.020450562238693237,0.07109734416007996,-0.2546380708785271,-0.19877293767221066,0.03221361205969815,True,False,3,recoverable,False
