source_version,source_command_cursor,source_step_index,source_event_index,source_expanded_index,source_command,source_event_time_s,compiler_outcome,plan_event_index,compiled_segment_index,plan_global_command_index,planned_dispatch_time_s,actual_dispatch_time_s,dispatch_lateness_s,servo_target_deg,wheel_target_rad_s,atomic_batch_id,atomic_batch_applied_sim_step,atomic_batch_first_physics_step,atomic_batch_motion_start_skew_s,atomic_batch_ack_valid,atomic_batch_ack_error,command_cursor,segment_cursor,macro_state_cursor
v003_20260805_224517_157723_manual,1,1,0,0,servo rear_left_hip 19.6,3.599999999996726,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,0,0,1,2.174999999999995,2.233333333333328,0.058333333333333126,"{""rear_left_hip"":19.6}",{},playback-recording-v003_20260805_224517_157723_manual-trial-01-0-1f54dbbd,268,269,0.0,True,,1,0,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,2,1,1,0,servo rear_left_hip 25.9,3.999999999996362,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,1,1,2,,,,"{""rear_left_hip"":25.9}",{},,,,,False,,2,1,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,3,1,2,0,servo rear_left_hip 28.1,4.19999999999618,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,2,2,3,,,,"{""rear_left_hip"":28.1}",{},,,,,False,,3,2,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,4,1,3,0,wheel stop,6.199999999994361,SEMANTIC_NOOP_ELIDED_BY_PRODUCTION_COMPILER,,,,,,,{},{},,,,,True,,,,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,5,2,0,0,servo front_right_hip 12.2,2.399999999997817,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,3,3,4,,,,"{""front_right_hip"":12.2}",{},,,,,False,,4,3,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,6,2,1,0,servo front_right_hip 36.5,2.7999999999974534,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,4,4,5,,,,"{""front_right_hip"":36.5}",{},,,,,False,,5,4,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,7,2,2,0,servo front_right_hip 43.9,3.1999999999970896,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,5,5,6,,,,"{""front_right_hip"":43.9}",{},,,,,False,,6,5,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,8,2,3,0,wheel stop,5.399999999995089,SEMANTIC_NOOP_ELIDED_BY_PRODUCTION_COMPILER,,,,,,,{},{},,,,,True,,,,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,9,3,0,0,wheel all 0.300,2.5999999999976353,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,6,6,7,,,,{},"{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}",,,,,False,,7,6,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,10,3,1,0,wheel stop,15.599999999985869,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,7,7,8,,,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",,,,,False,,8,7,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,11,3,2,0,wheel stop,17.39999999998423,SEMANTIC_NOOP_ELIDED_BY_PRODUCTION_COMPILER,,,,,,,{},{},,,,,True,,,,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,12,4,0,0,servo front_right_knee 17.3,2.9333333333306655,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,8,8,9,,,,"{""front_right_knee"":17.3}",{},,,,,False,,9,8,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,13,4,1,0,servo front_right_knee 24.7,3.3333333333303017,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,9,9,10,,,,"{""front_right_knee"":24.7}",{},,,,,False,,10,9,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,14,4,2,0,servo front_right_hip 35.5,4.9333333333288465,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,10,10,11,,,,"{""front_right_hip"":35.5}",{},,,,,False,,11,10,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,15,4,3,0,servo front_right_hip 3.7,5.333333333328483,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,11,11,12,,,,"{""front_right_hip"":3.7}",{},,,,,False,,12,11,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,16,4,4,0,servo front_right_hip -0.5,5.733333333328119,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,12,12,13,,,,"{""front_right_hip"":-0.5}",{},,,,,False,,13,12,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,17,4,5,0,servo front_right_hip -2.6,6.133333333327755,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,13,13,14,,,,"{""front_right_hip"":-2.6}",{},,,,,False,,14,13,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,18,4,6,0,servo front_right_hip 1.6,6.9333333333270275,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,14,14,15,,,,"{""front_right_hip"":1.6}",{},,,,,False,,15,14,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,19,4,7,0,servo front_right_hip 3.7,7.333333333326664,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,15,15,16,,,,"{""front_right_hip"":3.7}",{},,,,,False,,16,15,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,20,4,8,0,wheel stop,10.133333333324117,SEMANTIC_NOOP_ELIDED_BY_PRODUCTION_COMPILER,,,,,,,{},{},,,,,True,,,,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,21,5,0,0,servo front_left_hip 0,17.199999999984357,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,16,16,17,,,,"{""front_left_hip"":0.0}",{},,,,,False,,17,16,RECORDING_FAST_REPLAY
