source_version,source_command_cursor,source_step_index,source_event_index,source_expanded_index,source_command,source_event_time_s,compiler_outcome,plan_event_index,compiled_segment_index,plan_global_command_index,planned_dispatch_time_s,actual_dispatch_time_s,dispatch_lateness_s,servo_target_deg,wheel_target_rad_s,atomic_batch_id,atomic_batch_applied_sim_step,atomic_batch_first_physics_step,atomic_batch_motion_start_skew_s,atomic_batch_ack_valid,atomic_batch_ack_error,command_cursor,segment_cursor,macro_state_cursor
v003_20260805_224517_157723_manual,1,1,0,0,servo rear_left_hip 19.6,3.599999999996726,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,0,0,1,2.308333333333328,2.366666666666661,0.058333333333333126,"{""rear_left_hip"":19.6}",{},playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-0-8ac9e607,284,285,0.0,True,,1,0,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,2,1,1,0,servo rear_left_hip 25.9,3.999999999996362,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,1,1,2,2.4389999999999943,2.6333333333333266,0.19433333333333216,"{""rear_left_hip"":25.9}",{},playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-1-f3b69830,316,317,0.0,True,,2,1,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,3,1,2,0,servo rear_left_hip 28.1,4.19999999999618,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,2,2,3,2.4809999999999945,2.7666666666666595,0.28566666666666507,"{""rear_left_hip"":28.1}",{},playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-2-1c46c998,332,333,0.0,True,,3,2,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,4,1,3,0,wheel stop,6.199999999994361,SEMANTIC_NOOP_ELIDED_BY_PRODUCTION_COMPILER,,,,,,,{},{},,,,,True,,,,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,5,2,0,0,servo front_right_hip 12.2,2.399999999997817,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,3,3,4,2.4956666666666614,2.833333333333326,0.3376666666666648,"{""front_right_hip"":12.2}",{},playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-3-8724b850,340,341,0.0,True,,4,3,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,6,2,1,0,servo front_right_hip 36.5,2.7999999999974534,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,4,4,5,2.5769999999999946,3.033333333333325,0.45633333333333076,"{""front_right_hip"":36.5}",{},playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-4-e61e55c3,364,365,0.0,True,,5,4,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,7,2,2,0,servo front_right_hip 43.9,3.1999999999970896,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,5,5,6,2.7389999999999946,3.3666666666666574,0.6276666666666629,"{""front_right_hip"":43.9}",{},playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-5-e60dc770,404,405,0.0,True,,6,5,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,8,2,3,0,wheel stop,5.399999999995089,SEMANTIC_NOOP_ELIDED_BY_PRODUCTION_COMPILER,,,,,,,{},{},,,,,True,,,,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,9,3,0,0,wheel all 0.300,2.5999999999976353,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,6,6,7,2.788333333333328,3.4999999999999902,0.7116666666666625,{},"{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}",playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-6-9bc57e9a,420,421,0.0,True,,7,6,RECORDING_FAST_REPLAY
v003_20260805_224517_157723_manual,10,3,1,0,wheel stop,15.599999999985869,APPLIED_VIA_PRODUCTION_SEGMENT_BATCH,7,7,8,15.788333333321562,16.499999999999705,0.711666666678143,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",playback-fsm50-environment-a2-v003_20260805_224517_157723_manual-trial1-378dfc1c5e-7-78a04ef6,1980,1981,0.0,True,,8,7,RECORDING_FAST_REPLAY
