source_version,source_step_index,source_event_indices,decoded_segment_index,command_start_s,command_end_s,commands,servo_target_deg,wheel_target_rad_s,concurrent,servo_duration_s,wheel_duration_s,explicit_hold_s,final_segment_duration_s,expected_wheel_displacement_rad,command_provenance
v003_20260805_224517_157723_manual,1,[0],0,0.0,0.13066666666666668,"[""servo rear_left_hip 19.6""]","{""rear_left_hip"":19.6}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.13066666666666668,0.0,0.0,0.13066666666666668,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 19.6"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":0,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":1}]"
v003_20260805_224517_157723_manual,1,[1],1,0.13066666666666668,0.17266666666666666,"[""servo rear_left_hip 25.9""]","{""rear_left_hip"":25.9}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.04199999999999998,0.0,0.0,0.04199999999999998,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 25.9"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":1,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":1}]"
v003_20260805_224517_157723_manual,1,[2],2,0.17266666666666666,0.18733333333333335,"[""servo rear_left_hip 28.1""]","{""rear_left_hip"":28.1}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.014666666666666685,0.0,0.0,0.014666666666666689,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo rear_left_hip 28.1"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":2,""source_event_index"":2,""source_expanded_index"":0,""source_step_index"":1}]"
v003_20260805_224517_157723_manual,2,[0],3,0.18733333333333335,0.26866666666666666,"[""servo front_right_hip 12.2""]","{""front_right_hip"":12.2}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.08133333333333333,0.0,0.0,0.08133333333333331,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip 12.2"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":3,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":2}]"
v003_20260805_224517_157723_manual,2,[1],4,0.26866666666666666,0.43066666666666664,"[""servo front_right_hip 36.5""]","{""front_right_hip"":36.5}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.162,0.0,0.0,0.16199999999999998,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip 36.5"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":4,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":2}]"
v003_20260805_224517_157723_manual,2,[2],5,0.43066666666666664,0.48,"[""servo front_right_hip 43.9""]","{""front_right_hip"":43.9}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.049333333333333326,0.0,0.0,0.04933333333333334,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip 43.9"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":5,""source_event_index"":2,""source_expanded_index"":0,""source_step_index"":2}]"
v003_20260805_224517_157723_manual,3,[0],6,0.48,13.479999999988234,"[""wheel all 0.300""]",{},"{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}",False,0.0,12.999999999988233,0.0,12.999999999988233,"{""front_left_ankle"":3.89999999999647,""front_right_ankle"":3.89999999999647,""rear_left_ankle"":3.89999999999647,""rear_right_ankle"":3.89999999999647}","[{""base_command"":""wheel all 0.300"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":6,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":3}]"
v003_20260805_224517_157723_manual,3,[1],7,13.479999999988234,13.479999999988234,"[""wheel stop""]",{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.0,0.0,0.0,0.0,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""wheel stop"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":7,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":3}]"
v003_20260805_224517_157723_manual,4,[0],8,13.479999999988234,13.595333333321568,"[""servo front_right_knee 17.3""]","{""front_right_knee"":17.3}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.11533333333333334,0.0,0.0,0.11533333333333395,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_knee 17.3"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":8,""source_event_index"":0,""source_expanded_index"":0,""source_step_index"":4}]"
v003_20260805_224517_157723_manual,4,[1],9,13.595333333321568,13.644666666654901,"[""servo front_right_knee 24.7""]","{""front_right_knee"":24.7}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.049333333333333326,0.0,0.0,0.04933333333333323,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_knee 24.7"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":9,""source_event_index"":1,""source_expanded_index"":0,""source_step_index"":4}]"
v003_20260805_224517_157723_manual,4,[2],10,13.644666666654901,13.7006666666549,"[""servo front_right_hip 35.5""]","{""front_right_hip"":35.5}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.05599999999999999,0.0,0.0,0.05599999999999916,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip 35.5"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":10,""source_event_index"":2,""source_expanded_index"":0,""source_step_index"":4}]"
v003_20260805_224517_157723_manual,4,[3],11,13.7006666666549,13.9126666666549,"[""servo front_right_hip 3.7""]","{""front_right_hip"":3.7}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.212,0.0,0.0,0.21199999999999974,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip 3.7"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":11,""source_event_index"":3,""source_expanded_index"":0,""source_step_index"":4}]"
v003_20260805_224517_157723_manual,4,[4],12,13.9126666666549,13.9406666666549,"[""servo front_right_hip -0.5""]","{""front_right_hip"":-0.5}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.028,0.0,0.0,0.02800000000000047,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip -0.5"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":12,""source_event_index"":4,""source_expanded_index"":0,""source_step_index"":4}]"
v003_20260805_224517_157723_manual,4,[5],13,13.9406666666549,13.9546666666549,"[""servo front_right_hip -2.6""]","{""front_right_hip"":-2.6}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.014,0.0,0.0,0.013999999999999346,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip -2.6"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":13,""source_event_index"":5,""source_expanded_index"":0,""source_step_index"":4}]"
v003_20260805_224517_157723_manual,4,[6],14,13.9546666666549,13.9826666666549,"[""servo front_right_hip 1.6""]","{""front_right_hip"":1.6}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.028,0.0,0.0,0.02800000000000047,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip 1.6"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":14,""source_event_index"":6,""source_expanded_index"":0,""source_step_index"":4}]"
v003_20260805_224517_157723_manual,4,[7],15,13.9826666666549,13.9966666666549,"[""servo front_right_hip 3.7""]","{""front_right_hip"":3.7}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",False,0.014,0.0,0.0,0.013999999999999346,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}","[{""base_command"":""servo front_right_hip 3.7"",""dispatch_command"":true,""mapping_error"":"""",""plan_event_index"":15,""source_event_index"":7,""source_expanded_index"":0,""source_step_index"":4}]"
