step_index,step_id,raw_gap_ms,raw_gap_reason,fast_gap_ms,fast_gap_reason,removed_ui_idle_ms,raw_completion_extension_s,fast_completion_extension_s
1,step_001_recorded_height_05cm_dur_10.80s,0.000000,implicit_timestamp_gap,0.000000,none,0.000000,0.007667,0.007667
2,step_002_recorded_height_05cm_dur_3.47s,2866.666667,implicit_timestamp_gap,0.000000,none,2866.666667,0.010000,0.010000
3,step_003_recorded_height_05cm_dur_2.80s,2533.333333,implicit_timestamp_gap,0.000000,none,2533.333333,0.008333,0.008333
4,step_004_recorded_height_05cm_dur_5.72s,3133.333333,implicit_timestamp_gap,0.000000,none,3133.333333,0.023333,0.023333
5,step_005_recorded_height_05cm_dur_7.14s,2083.333333,implicit_timestamp_gap,0.000000,none,2083.333333,0.006667,0.006667
6,step_006_recorded_height_05cm_dur_8.92s,5816.666667,implicit_timestamp_gap,0.000000,none,5816.666667,0.016667,0.016667
7,step_007_recorded_height_05cm_dur_5.22s,2975.000000,implicit_timestamp_gap,0.000000,none,2975.000000,0.675000,0.950000
8,step_008_recorded_height_05cm_dur_5.70s,4316.666667,implicit_timestamp_gap,0.000000,none,4316.666667,0.004667,0.004667
9,step_009_recorded_height_05cm_dur_4.20s,2033.333333,implicit_timestamp_gap,0.000000,none,2033.333333,0.331000,0.639333
10,step_010_recorded_height_05cm_dur_4.70s,3316.666667,implicit_timestamp_gap,0.000000,none,3316.666667,0.003000,0.003000
11,step_011_recorded_height_05cm_dur_5.48s,4533.333333,implicit_timestamp_gap,0.000000,none,4533.333333,0.021667,0.013333
12,step_012_recorded_height_05cm_dur_6.48s,4783.333333,implicit_timestamp_gap,0.000000,none,4783.333333,0.023333,0.240000
13,step_013_recorded_height_05cm_dur_6.25s,3708.333333,implicit_timestamp_gap,0.000000,none,3708.333333,0.058333,0.058333
14,step_014_recorded_height_05cm_dur_4.02s,2758.333333,implicit_timestamp_gap,0.000000,none,2758.333333,0.030000,0.030000
15,step_015_recorded_height_05cm_dur_35.50s,3100.000000,implicit_timestamp_gap,0.000000,none,3100.000000,0.003000,0.003000
16,step_016_recorded_height_05cm_dur_3.22s,3241.666667,implicit_timestamp_gap,0.000000,none,3241.666667,0.000000,0.000000
17,step_017_recorded_height_05cm_dur_4.62s,2891.666667,implicit_timestamp_gap,0.000000,none,2891.666667,0.036667,0.036667
18,step_018_recorded_height_05cm_dur_7.94s,3383.333333,implicit_timestamp_gap,0.000000,none,3383.333333,0.056667,0.031667
19,step_019_recorded_height_05cm_dur_8.05s,6241.666667,implicit_timestamp_gap,0.000000,none,6241.666667,0.316667,0.083333
20,step_020_recorded_height_05cm_dur_8.30s,5550.000000,implicit_timestamp_gap,0.000000,none,5550.000000,0.040000,0.056667
21,step_021_recorded_height_05cm_dur_20.00s,5666.666667,implicit_timestamp_gap,0.000000,none,5666.666667,0.002333,0.002333
22,step_022_recorded_height_05cm_dur_8.84s,2250.000000,implicit_timestamp_gap,0.000000,none,2250.000000,0.378333,0.745000
23,step_023_recorded_height_05cm_dur_14.69s,15533.333333,implicit_timestamp_gap,0.000000,none,15533.333333,0.153333,0.095000
24,step_024_recorded_height_05cm_dur_5.42s,2416.666667,implicit_timestamp_gap,0.000000,none,2416.666667,0.008333,0.150000
25,step_025_recorded_height_05cm_dur_4.27s,4675.000000,implicit_timestamp_gap,0.000000,none,4675.000000,0.120000,0.153333
26,step_026_recorded_height_05cm_dur_9.45s,3600.000000,implicit_timestamp_gap,0.000000,none,3600.000000,0.655333,1.272000
27,step_027_recorded_height_05cm_dur_7.98s,12641.666667,implicit_timestamp_gap,0.000000,none,12641.666667,0.008333,0.008333
28,step_028_recorded_height_05cm_dur_5.78s,5400.000000,implicit_timestamp_gap,0.000000,none,5400.000000,0.011667,0.045000
29,step_029_recorded_height_05cm_dur_4.64s,2641.666667,implicit_timestamp_gap,0.000000,none,2641.666667,0.021667,0.005000
30,step_030_recorded_height_05cm_dur_5.48s,3783.333333,implicit_timestamp_gap,0.000000,none,3783.333333,0.007667,0.007667
31,step_031_recorded_height_05cm_dur_5.98s,1600.000000,implicit_timestamp_gap,0.000000,none,1600.000000,0.007000,0.007000
32,step_032_recorded_height_05cm_dur_9.28s,5725.000000,implicit_timestamp_gap,0.000000,none,5725.000000,0.003667,0.003667
33,step_033_recorded_height_05cm_dur_4.12s,3283.333333,implicit_timestamp_gap,0.000000,none,3283.333333,0.040000,0.040000
34,step_034_recorded_height_05cm_dur_20.97s,1991.666667,implicit_timestamp_gap,0.000000,none,1991.666667,0.005333,0.005333
35,step_035_recorded_height_05cm_dur_3.42s,2100.000000,implicit_timestamp_gap,0.000000,none,2100.000000,0.006667,0.056667
