step_index,step_id,raw_first_motion_s,raw_last_motion_s,raw_idle_gap_s,fast_first_motion_s,fast_last_motion_s,fast_idle_gap_s,removed_ui_idle_s,explicit_motion_duration_s,inter_step_scheduler_gap_s,scheduler_lateness_s,kept_commands,removed_noops
1,step_001_recorded_height_05cm_dur_10.80s,0.000000,9.718000,0.000000,0.000000,8.859000,0.000000,0.000000,8.859000,0.000000,0.000000,2,0
2,step_002_recorded_height_05cm_dur_3.47s,9.718000,12.859000,0.000000,8.859000,9.141000,0.000000,2.859000,0.282000,0.000000,0.000000,3,0
3,step_003_recorded_height_05cm_dur_2.80s,12.859000,15.593000,0.000000,9.141000,9.297000,0.000000,2.578000,0.156000,0.000000,0.000000,3,0
4,step_004_recorded_height_05cm_dur_5.72s,15.593000,21.453000,0.000000,9.297000,9.844000,0.000000,5.313000,0.547000,0.000000,0.000000,5,0
5,step_005_recorded_height_05cm_dur_7.14s,21.453000,28.656000,0.000000,9.844000,14.829000,0.000000,2.218000,4.985000,0.000000,0.000000,2,0
6,step_006_recorded_height_05cm_dur_8.92s,28.656000,36.921000,0.000000,14.829000,15.189000,0.000000,7.905000,0.360000,0.000000,0.000000,7,0
7,step_007_recorded_height_05cm_dur_5.22s,36.921000,40.734000,0.000000,15.189000,15.939000,0.000000,3.063000,0.750000,0.000000,0.000000,5,8
8,step_008_recorded_height_05cm_dur_5.70s,40.734000,48.734000,0.000000,15.939000,19.626000,0.000000,4.313000,3.687000,0.000000,0.000000,2,0
9,step_009_recorded_height_05cm_dur_4.20s,48.734000,51.484000,0.000000,19.626000,20.345000,0.000000,2.031000,0.719000,0.000000,0.000000,3,10
10,step_010_recorded_height_05cm_dur_4.70s,51.484000,57.843000,0.000000,20.345000,23.392000,0.000000,3.312000,3.047000,0.000000,0.000000,2,0
11,step_011_recorded_height_05cm_dur_5.48s,57.843000,62.515000,0.000000,23.392000,23.533000,0.000000,4.531000,0.141000,0.000000,0.000000,3,0
12,step_012_recorded_height_05cm_dur_6.48s,62.515000,67.796000,0.000000,23.533000,23.986000,0.000000,4.828000,0.453000,0.000000,0.000000,6,0
13,step_013_recorded_height_05cm_dur_6.25s,67.796000,74.843000,0.000000,23.986000,25.673000,0.000000,5.360000,1.687000,0.000000,0.000000,14,0
14,step_014_recorded_height_05cm_dur_4.02s,74.843000,78.593000,0.000000,25.673000,26.298000,0.000000,3.125000,0.625000,0.000000,0.000000,7,0
15,step_015_recorded_height_05cm_dur_35.50s,78.593000,114.405000,0.000000,26.298000,58.970000,0.000000,3.140000,32.672000,0.000000,0.000000,2,0
16,step_016_recorded_height_05cm_dur_3.22s,114.405000,118.343000,0.000000,58.970000,59.673000,0.000000,3.235000,0.703000,0.000000,0.000000,8,5
17,step_017_recorded_height_05cm_dur_4.62s,118.343000,122.842000,0.000000,59.673000,60.532000,0.000000,3.640000,0.859000,0.000000,0.000000,8,0
18,step_018_recorded_height_05cm_dur_7.94s,122.842000,127.577000,0.000000,60.532000,61.610000,0.000000,3.657000,1.078000,0.000000,0.000000,6,0
19,step_019_recorded_height_05cm_dur_8.05s,127.577000,136.030000,0.000000,61.610000,63.782000,0.000000,6.281000,2.172000,0.000000,0.000000,14,0
20,step_020_recorded_height_05cm_dur_8.30s,136.030000,144.717000,0.000000,63.782000,65.484000,0.000000,6.985000,1.702000,0.000000,0.000000,9,0
21,step_021_recorded_height_05cm_dur_20.00s,144.717000,167.296000,0.000000,65.484000,82.265000,0.000000,5.798000,16.781000,0.000000,0.000000,2,0
22,step_022_recorded_height_05cm_dur_8.84s,167.296000,170.124000,0.000000,82.265000,82.843000,0.000000,2.250000,0.578000,0.000000,0.000000,5,8
23,step_023_recorded_height_05cm_dur_14.69s,170.124000,190.452000,0.000000,82.843000,86.344000,0.000000,16.827000,3.501000,0.000000,0.000000,19,0
24,step_024_recorded_height_05cm_dur_5.42s,190.452000,193.686000,0.000000,86.344000,87.125000,0.000000,2.453000,0.781000,0.000000,0.000000,7,6
25,step_025_recorded_height_05cm_dur_4.27s,193.686000,198.936000,0.000000,87.125000,87.703000,0.000000,4.672000,0.578000,0.000000,0.000000,3,10
26,step_026_recorded_height_05cm_dur_9.45s,198.936000,203.233000,0.000000,87.703000,88.406000,0.000000,3.594000,0.703000,0.000000,0.000000,3,10
27,step_027_recorded_height_05cm_dur_7.98s,203.233000,217.279000,0.000000,88.406000,89.812000,0.000000,12.640000,1.406000,0.000000,0.000000,3,0
28,step_028_recorded_height_05cm_dur_5.78s,217.279000,223.138000,0.000000,89.812000,90.093000,0.000000,5.578000,0.281000,0.000000,0.000000,4,0
29,step_029_recorded_height_05cm_dur_4.64s,223.138000,226.560000,0.000000,90.093000,90.828000,0.000000,2.687000,0.735000,0.000000,0.000000,3,10
30,step_030_recorded_height_05cm_dur_5.48s,226.560000,234.326000,0.000000,90.828000,94.812000,0.000000,3.782000,3.984000,0.000000,0.000000,2,0
31,step_031_recorded_height_05cm_dur_5.98s,234.326000,239.888000,0.000000,94.812000,98.780000,0.000000,1.594000,3.968000,0.000000,0.000000,2,0
32,step_032_recorded_height_05cm_dur_9.28s,239.888000,248.045000,0.000000,98.780000,101.218000,0.000000,5.719000,2.438000,0.000000,0.000000,4,9
33,step_033_recorded_height_05cm_dur_4.12s,248.045000,253.076000,0.000000,101.218000,102.968000,0.000000,3.281000,1.750000,0.000000,0.000000,10,0
34,step_034_recorded_height_05cm_dur_20.97s,253.076000,274.653000,0.000000,102.968000,122.421000,0.000000,2.124000,19.453000,0.000000,0.000000,2,0
35,step_035_recorded_height_05cm_dur_3.42s,274.653000,277.575000,0.000000,122.421000,123.249000,0.000000,2.094000,0.828000,0.000000,0.000000,12,1
