profile,replay_run_id,plan_sha256,worker_plan_sha256,source_step_index,source_step_id,segment_index_zero_based,event_indices_zero_based,planned_start_s,planned_end_s,actual_start_sim_time,actual_end_sim_time,servo_targets,measured_servo_positions_at_transition,servo_errors,effective_tolerance_deg,recorded_servo_residual_deg,legacy_missing_endpoint,servo_measured_average_velocity_deg_s,sampled_joint_velocity,wheel_target_rad_s,wheel_duration_s,contact_ground_state,completion_extension_s,progress_improvement,gap_reason,stop_reason,last_error
raw,5d60b3f96f014fa9a9544d7b033b5400,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,1,step_001_recorded_height_050mm_dur_6.20s,0,[0],3.599999999996726,3.7306666666633923,5.483333333333396,5.7500000000000755,"{""rear_left_hip"":19.6}","{""rear_left_hip"":19.768117614306476}","{""rear_left_hip"":0.16811761430647465}",1.0,{},True,73.49999999999635,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.13600000000001325,complete,servo_completion_extension,,
raw,5d60b3f96f014fa9a9544d7b033b5400,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,1,step_001_recorded_height_050mm_dur_6.20s,1,[1],3.999999999996362,4.041999999996362,6.083333333333425,6.150000000000095,"{""rear_left_hip"":25.9}","{""rear_left_hip"":26.49793202270652}","{""rear_left_hip"":0.597932022706523}",1.0,{},True,94.49999999999525,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.02466666666667,complete,servo_completion_extension,,
raw,5d60b3f96f014fa9a9544d7b033b5400,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,1,step_001_recorded_height_050mm_dur_6.20s,2,[2],4.19999999999618,4.214666666662847,6.350000000000105,6.416666666666775,"{""rear_left_hip"":28.1}","{""rear_left_hip"":28.532798022576607}","{""rear_left_hip"":0.4327980225766055}",1.0,{},True,32.9999999999984,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.052000000000003294,complete,servo_completion_extension,,
raw,5d60b3f96f014fa9a9544d7b033b5400,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,2,step_002_recorded_height_050mm_dur_5.40s,3,[3],8.599999999992178,8.681333333325512,10.816666666666693,11.21666666666667,"{""front_right_hip"":12.2}","{""front_right_hip"":12.403346805027592}","{""front_right_hip"":0.20334680502759284}",1.0,{},True,30.500000000001734,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.31866666666664395,complete,servo_completion_extension,,
raw,5d60b3f96f014fa9a9544d7b033b5400,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,2,step_002_recorded_height_050mm_dur_5.40s,4,[4],8.999999999991815,9.161999999991815,11.549999999999985,11.883333333333299,"{""front_right_hip"":36.5}","{""front_right_hip"":36.470752048486354}","{""front_right_hip"":-0.029247951513646342}",1.0,{},True,72.90000000000414,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.17133333333331438,complete,servo_completion_extension,,
raw,5d60b3f96f014fa9a9544d7b033b5400,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,2,step_002_recorded_height_050mm_dur_5.40s,5,[5],9.39999999999145,9.449333333324784,12.14999999999995,12.283333333333276,"{""front_right_hip"":43.9}","{""front_right_hip"":44.50603247489948}","{""front_right_hip"":0.6060324748994788}",1.0,{},True,55.50000000000315,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.08399999999999243,complete,servo_completion_extension,,
raw,5d60b3f96f014fa9a9544d7b033b5400,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,3,step_003_recorded_height_050mm_dur_17.40s,6,[6],14.199999999987085,27.19999999997532,17.083333333333005,30.083333333332266,{},{},{},1.0,{},False,0.0,null,"{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}",12.999999999988233,{},1.1027623258996755e-11,complete,implicit_timestamp_gap,,
raw,5d60b3f96f014fa9a9544d7b033b5400,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,3,step_003_recorded_height_050mm_dur_17.40s,7,[7],27.19999999997532,27.19999999997532,30.083333333332266,30.083333333332266,{},{},{},1.0,{},False,0.0,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.0,complete,none,,
raw,5d60b3f96f014fa9a9544d7b033b5400,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,4,step_004_recorded_height_050mm_dur_10.13s,8,[8],31.933333333304347,32.04866666663768,34.816666666665334,35.083333333331986,"{""front_right_knee"":17.3}","{""front_right_knee"":17.657661654658515}","{""front_right_knee"":0.3576616546585143}",1.0,{},True,64.8750000000037,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.15133333333331817,complete,servo_completion_extension,,
raw,5d60b3f96f014fa9a9544d7b033b5400,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,4,step_004_recorded_height_050mm_dur_10.13s,9,[9],32.33333333330398,32.38266666663732,35.4166666666653,35.549999999998626,"{""front_right_knee"":24.7}","{""front_right_knee"":24.9156170346527}","{""front_right_knee"":0.215617034652702}",1.0,{},True,55.50000000000315,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.08399999999999243,complete,servo_completion_extension,,
raw,5d60b3f96f014fa9a9544d7b033b5400,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,4,step_004_recorded_height_050mm_dur_10.13s,10,[10],33.93333333330253,33.989333333302525,37.149999999998535,37.34999999999852,"{""front_right_hip"":35.5}","{""front_right_hip"":35.746027996412984}","{""front_right_hip"":0.2460279964129839}",1.0,{},True,42.00000000000238,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.14399999999998864,complete,servo_completion_extension,,
raw,5d60b3f96f014fa9a9544d7b033b5400,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,2bc2c454b267f7d259b9553f646496f76d8707a9d0e3231ec7f4a5f6b1c3c601,4,step_004_recorded_height_050mm_dur_10.13s,11,[11],34.333333333302164,34.54533333330217,37.7499999999985,38.083333333331815,"{""front_right_hip"":3.7}","{""front_right_hip"":3.4470217723405976}","{""front_right_hip"":-0.2529782276594026}",1.0,{},True,95.40000000000542,null,"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",0.0,{},0.12133333333331439,complete,servo_completion_extension,,
