profile,step,segment,global_command_first,global_command_last,command,scheduled_start_sim_time_s,scheduled_end_sim_time_s,planned_start_offset_s,planned_end_offset_s,observer_wall_time,max_servo_error_deg,servo_errors_deg,wheel_targets_rad_s,residual_warning,stop_reason,step24_25_evidence
raw,1,0,1,1,wheel all 0.3,22.542333333271277,31.40133333344264,0.8589999999385327,9.718000000109896,1785900158.4771273,,{},"{""front_left_ankle"":0.3,""front_right_ankle"":0.3,""rear_left_ankle"":0.3,""rear_right_ankle"":0.3}",{},,
raw,1,1,2,2,wheel stop,31.40133333344264,31.40133333344264,9.718000000109896,9.718000000109896,,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",,,
raw,2,2,3,3,servo rear_left_hip 3.5,34.260333333614,34.28366666694734,12.57700000028126,12.600333333614593,1785900166.8987312,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",{},,
raw,2,3,4,4,servo rear_left_hip 17.3,34.33933333352459,34.4313333335246,12.656000000191852,12.748000000191853,1785900167.1596515,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",{},,
raw,2,4,5,5,servo rear_left_hip 18.7,34.542333333504104,34.55166666683744,12.859000000171363,12.868333333504697,1785900167.2799132,0.7432959907070966,"{""rear_left_hip"":0.7432959907070966}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",{},,
raw,3,5,6,6,servo front_left_hip 6.2,37.120333333483615,37.161666666816956,15.437000000150874,15.478333333484208,1785900169.3176143,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",{},,
raw,3,6,7,7,servo front_left_hip 11.8,37.167333333504104,37.20466666683744,15.484000000171363,15.521333333504696,1785900169.583327,0.6058846622227749,"{""front_left_hip"":0.6058846622227749}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",{},,
raw,3,7,8,8,servo front_left_hip 14.5,37.27633333367547,37.29433333367547,15.593000000342727,15.611000000342727,1785900169.7014008,0.04929743530894548,"{""front_left_hip"":-0.04929743530894548}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",{},,
raw,4,8,9,9,servo front_right_hip 2.1,40.495333333483615,40.50933333348362,18.812000000150874,18.826000000150874,1785900169.813912,0.08829244693876603,"{""front_left_hip"":-0.08829244693876603}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",{},,
raw,4,9,10,10,servo front_right_hip 31.2,40.76133333354508,40.955333333545084,19.07800000021234,19.27200000021234,1785900172.787524,,{},"{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",{},,
raw,4,10,11,11,servo front_right_hip 39.5,40.97933333365498,41.034666666988315,19.296000000322238,19.35133333365557,1785900173.175556,3.2043056999410737,"{""front_right_hip"":-3.2043056999410737}","{""front_left_ankle"":0.0,""front_right_ankle"":0.0,""rear_left_ankle"":0.0,""rear_right_ankle"":0.0}",{},,
