metric,scope,before,after,unit,notes
plan_build_median,selected_step_15,0.234300,0.336150,ms,"Both sub-millisecond; complete plan built once"
plan_build,real_selected_step_2_fast,NA,0.700500,ms,"Instrumented in GUI/Isaac run"
restore_submit,real_selected_step_2_fast,NA,0.820700,ms,"One restore submission before plan; not per command"
worker_ready_to_first_command,real_selected_step_2_fast,NA,1.031363,s,"Includes 0.30 simulation-second safe start delay at current RTF"
first_command_to_completion,real_selected_step_2_fast,NA,0.257317,s,"Three commands, worker simulation-time scheduler"
selected_total_wall,real_selected_step_2_fast,NA,2.149569,s,"Includes preparation/restore/startup"
selected_plan_time,selected_step_15_fast_300,10.907333,10.890667,simulation_s,"Removed repeated selected-step final pad"
median_inter_command_gap,formal_5cm_fast_100,0.050000,0.000000,simulation_s,"Implicit timing gap; explicit waits remain"
median_inter_step_gap,formal_5cm_fast_100,0.050000,0.000000,simulation_s,"34 transitions"
max_inter_step_gap,formal_5cm_fast_100,0.050000,0.000000,simulation_s,"No per-step 50 ms pad"
full_plan_time,formal_5cm_fast_100,134.233000,132.483307,simulation_s,"35 repeated pads removed; distance-preserving limit retiming included"
full_plan_time,formal_5cm_fast_300,44.744333,49.262533,simulation_s,"Old value lost limited-wheel distance; new value retimes limited segments"
median_inter_step_gap,real_formal_5cm_fast_300,NA,0.000000,simulation_s,"Actual worker trace"
max_inter_step_gap,real_formal_5cm_fast_300,NA,0.000000,simulation_s,"Actual worker trace"
max_scheduler_lateness,real_formal_5cm_fast_300,NA,0.008225,simulation_s,"Below one 1/120 s physics frame plus numeric tolerance"
full_playback_total,real_formal_5cm_fast_300,NA,223.362226,wall_s,"49.262533 simulation seconds at observed RTF"
full_plan_time,formal_5cm_raw_100,278.872000,278.872307,simulation_s,"Raw timestamp relationships retained"
full_plan_time,formal_5cm_raw_300,92.957333,98.060347,simulation_s,"Longer than old incorrect value because limited wheel distance is preserved"
median_inter_step_gap,formal_5cm_raw_100,3.296500,3.296500,simulation_s,"Raw recorded gaps retained"
median_inter_step_gap,formal_5cm_raw_300,1.098833,1.098833,simulation_s,"Raw gaps scale inversely with requested percent"
gui_refresh_frequency,playback_status,10,10,Hz,"UI polling only; worker timing is independent"
