height_cm,respawn_iteration,available,height_m,ground_z_m,obstacle_front_face_x_m,robot_root_pose,obstacle_bounds_min_m,obstacle_bounds_max_m,obstacle_center_m,obstacle_bottom_z_m,obstacle_top_z_m,obstacle_length_m,obstacle_width_m,wheel_collision_centers,wheel_radius_m,robot_collision_bounds_min_m,robot_collision_bounds_max_m,root_to_obstacle_front_m,front_wheel_center_to_obstacle_front_m,robot_collision_front_to_obstacle_front_m,lateral_alignment_m,yaw_alignment_error_deg,canonical_approach_distance
5,1,True,0.05,0.0,0.5213121737735307,"[-0.00390973687171936, -0.001187145709991455, 0.09912241995334625, 0.9999808073043823, 4.7904366510920227e-05, -0.006019894964993, 0.0014738021418452263]","[0.5213121737735307, -0.44110036553592025, 0.0]","[2.5786877308590377, 0.44110036553592025, 0.05000000074505806]","[1.5499999523162842, 0.0, 0.02500000037252903]",0.0,0.05000000074505806,2.057375557085507,0.8822007310718405,"[{""bounds_max_m"": [0.2989298599453417, 0.09941366555491003, 0.09906017754659216], ""bounds_min_m"": [0.19893159956335754, 0.07912622701649992, -0.000928093370685501], ""center_m"": [0.24893072975434963, 0.08926994628570498, 0.04906604208795333], ""prim_path"": ""/World/WLRRobot/front_left_wheel/collisions/front_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060672, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [0.30303899972874904, -0.31887496828660206, 0.09917625607984701], ""bounds_min_m"": [0.2029950395908133, -0.3391621843838797, -0.0008168646103180605], ""center_m"": [0.2530170196597812, -0.3290185763352409, 0.049179695734764474], ""prim_path"": ""/World/WLRRobot/front_right_wheel/collisions/front_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.254232450481119, 0.0929825628454379, 0.09989091279997656], ""bounds_min_m"": [-0.3542434857655421, 0.07269543818568576, -0.00011010943728309575], ""center_m"": [-0.30423796812333054, 0.08283900051556184, 0.04989040168134673], ""prim_path"": ""/World/WLRRobot/rear_left_wheel/collisions/rear_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060673, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.256218987858241, -0.3233235516615529, 0.09993113937171971], ""bounds_min_m"": [-0.35626497850944977, -0.3436107621822415, -6.403487522332191e-05], ""center_m"": [-0.3062419831838454, -0.3334671569218972, 0.04993355224824819], ""prim_path"": ""/World/WLRRobot/rear_right_wheel/collisions/rear_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}]",0.04998999834060672,"[-0.35626497850944977, -0.3436107621822415, -0.000928093370685501]","[0.30303899972874904, 0.09941366555491003, 0.2222037177234324]",0.52522191064525,0.2682951541137495,0.21827317404478164,0.001187145709991455,0.16886148142162918,root_to_obstacle_front_m
10,1,True,0.1,0.0,0.5213121737735307,"[-0.003987094387412071, -0.0012175440788269043, 0.09911303222179413, 0.9999808073043823, 5.8422843721928075e-05, -0.006017001811414957, 0.0015302106039598584]","[0.5213121737735307, -0.44110036553592025, 0.0]","[2.5786877308590377, 0.44110036553592025, 0.10000000149011612]","[1.5499999523162842, 0.0, 0.05000000074505806]",0.0,0.10000000149011612,2.057375557085507,0.8822007310718405,"[{""bounds_max_m"": [0.2988803495692615, 0.09941840244919292, 0.0990513289872849], ""bounds_min_m"": [0.19888005864133074, 0.07911989981231957, -0.000938910407664896], ""center_m"": [0.24888020410529613, 0.08926915113075624, 0.04905620928981], ""prim_path"": ""/World/WLRRobot/front_left_wheel/collisions/front_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060672, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [0.30300648119492196, -0.3188698259606485, 0.09917119564437223], ""bounds_min_m"": [0.20296126756327082, -0.339168043411588, -0.0008213292681586437], ""center_m"": [0.2529838743790964, -0.32901893468611826, 0.04917493318810679], ""prim_path"": ""/World/WLRRobot/front_right_wheel/collisions/front_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.25430160545469416, 0.09292469226062273, 0.09989396612194684], ""bounds_min_m"": [-0.35431326504703375, 0.0726266114067874, -0.00010762453710275871], ""center_m"": [-0.30430743525086396, 0.08277565183370507, 0.049893170792422045], ""prim_path"": ""/World/WLRRobot/rear_left_wheel/collisions/rear_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060673, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.2563252918126165, -0.32338182952845906, 0.09992526003594104], ""bounds_min_m"": [-0.35637093594579017, -0.34368009882412565, -6.769953219434854e-05], ""center_m"": [-0.30634811387920335, -0.33353096417629235, 0.04992878025187335], ""prim_path"": ""/World/WLRRobot/rear_right_wheel/collisions/rear_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}]",0.04998999834060672,"[-0.35637093594579017, -0.34368009882412565, -0.000938910407664896]","[0.30300648119492196, 0.09941840244919292, 0.22219453561343266]",0.5252992681609427,0.26832829939443426,0.2183056925786087,0.0012175440788269043,0.17531853939321637,root_to_obstacle_front_m
15,1,True,0.15,0.0,0.521312100542076,"[-0.0039850156754255295, -0.0012231096625328064, 0.09911224246025085, 0.9999808073043823, 5.2162897191010416e-05, -0.006015260703861713, 0.0015440741553902626]","[0.521312100542076, -0.44110037649076617, 0.0]","[2.5786878040904924, 0.44110037649076617, 0.15000000596046448]","[1.5499999523162842, 0.0, 0.07500000298023224]",0.0,0.15000000596046448,2.0573757035484164,0.8822007529815323,"[{""bounds_max_m"": [0.29887951196147355, 0.09942048345198816, 0.09905112616776468], ""bounds_min_m"": [0.1988791206389149, 0.0791193402333462, -0.0009389010215425514], ""center_m"": [0.24887931630019422, 0.08926991184266718, 0.049056112573111064], ""prim_path"": ""/World/WLRRobot/front_left_wheel/collisions/front_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060672, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [0.30301371875128164, -0.31886760600259767, 0.09917256696038215], ""bounds_min_m"": [0.20296782922153556, -0.33916851547446486, -0.0008201042574981707], ""center_m"": [0.25299077398640857, -0.32901806073853124, 0.04917623135144199], ""prim_path"": ""/World/WLRRobot/front_right_wheel/collisions/front_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.2543047289936322, 0.0929115350489059, 0.09989355378790164], ""bounds_min_m"": [-0.35431647532678034, 0.07261073624941834, -0.00010779973333371884], ""center_m"": [-0.3043106021602063, 0.08276113564916213, 0.04989287702728396], ""prim_path"": ""/World/WLRRobot/rear_left_wheel/collisions/rear_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060673, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.2563051682427455, -0.32339503099813505, 0.09992611567236452], ""bounds_min_m"": [-0.35635168865424655, -0.3436959648335597, -6.719406559813068e-05], ""center_m"": [-0.30632842844849606, -0.33354549791584737, 0.049929460803383195], ""prim_path"": ""/World/WLRRobot/rear_right_wheel/collisions/rear_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}]",0.04998999834060672,"[-0.35635168865424655, -0.3436959648335597, -0.0009389010215425514]","[0.30301371875128164, 0.09942048345198816, 0.22219268229262845]",0.5252971162175015,0.2683213265556674,0.21829838179079436,0.0012231096625328064,0.1769115969291893,root_to_obstacle_front_m
20,1,True,0.2,0.0,0.5213121737735307,"[-0.003985453397035599, -0.0012297406792640686, 0.09910948574542999, 0.9999808073043823, 4.4020871428074315e-05, -0.006011685822159052, 0.0015609490219503641]","[0.5213121737735307, -0.44110036553592025, 0.0]","[2.5786877308590377, 0.44110036553592025, 0.20000000298023224]","[1.5499999523162842, 0.0, 0.10000000149011612]",0.0,0.20000000298023224,2.057375557085507,0.8822007310718405,"[{""bounds_max_m"": [0.2988764357330037, 0.0994231618473824, 0.09905037735151788], ""bounds_min_m"": [0.1988758324301048, 0.07911880931221642, -0.0009394514798126211], ""center_m"": [0.24887613408155423, 0.0892709855797994, 0.049055462935852626], ""prim_path"": ""/World/WLRRobot/front_left_wheel/collisions/front_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060672, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [0.30302126775717986, -0.31886476132509234, 0.09917329579421999], ""bounds_min_m"": [0.20297468108733402, -0.33916895010770043, -0.0008194338430839165], ""center_m"": [0.2529979744222569, -0.3290168557163964, 0.04917693097556804], ""prim_path"": ""/World/WLRRobot/front_right_wheel/collisions/front_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.25431064123675995, 0.09289562617289443, 0.0998935628068974], ""bounds_min_m"": [-0.35432250115259983, 0.07259151404001754, -0.00010749267678973606], ""center_m"": [-0.3043165711946799, 0.08274357010645599, 0.04989303506505383], ""prim_path"": ""/World/WLRRobot/rear_left_wheel/collisions/rear_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060673, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.25628823413791907, -0.32341095809843085, 0.0999270788639807], ""bounds_min_m"": [-0.35633568722057185, -0.3437151198005151, -6.652386028888763e-05], ""center_m"": [-0.3063119606792455, -0.333563038949473, 0.04993027750184591], ""prim_path"": ""/World/WLRRobot/rear_right_wheel/collisions/rear_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}]",0.04998999834060672,"[-0.35633568722057185, -0.3437151198005151, -0.0009394514798126211]","[0.30302126775717986, 0.0994231618473824, 0.22218819668693743]",0.5252976271705663,0.26831419935127376,0.21829090601635082,0.0012297406792640686,0.17885104166935212,root_to_obstacle_front_m
25,1,True,0.25,0.0,0.5213121175765991,"[-0.0040247440338134766, -0.0012482106685638428, 0.09910400211811066, 0.9999806880950928, 5.308225081535056e-05, -0.006013093050569296, 0.001594473491422832]","[0.5213121175765991, -0.4411003291606903, 0.0]","[2.5786877870559692, 0.4411003291606903, 0.25]","[1.5499999523162842, 0.0, 0.125]",0.0,0.25,2.05737566947937,0.8822006583213806,"[{""bounds_max_m"": [0.2988500443996809, 0.09942588399158077, 0.0990457808772647], ""bounds_min_m"": [0.198848368126058, 0.07911491357493662, -0.0009451701219756817], ""center_m"": [0.24884920626286944, 0.0892703987832587, 0.049050305377644515], ""prim_path"": ""/World/WLRRobot/front_left_wheel/collisions/front_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060672, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [0.30301379132687967, -0.3188617709977033, 0.09917077294173428], ""bounds_min_m"": [0.20296636640426402, -0.3391725088303535, -0.0008216916645019112], ""center_m"": [0.25299007886557184, -0.32901713991402837, 0.04917454063861618], ""prim_path"": ""/World/WLRRobot/front_right_wheel/collisions/front_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.2543475838651117, 0.09286113828498943, 0.09989442359516776], ""bounds_min_m"": [-0.354359739235689, 0.0725505245332723, -0.00010698208394391284], ""center_m"": [-0.30435366155040033, 0.08270583140913088, 0.04989372075561192], ""prim_path"": ""/World/WLRRobot/rear_left_wheel/collisions/rear_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060673, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.2563454202416868, -0.3234456776660515, 0.09992196273263948], ""bounds_min_m"": [-0.35639198373472136, -0.34375642115305494, -6.966910180720293e-05], ""center_m"": [-0.3063687019882041, -0.3336010494095532, 0.04992614681541614], ""prim_path"": ""/World/WLRRobot/rear_right_wheel/collisions/rear_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}]",0.04998999834060672,"[-0.35639198373472136, -0.34375642115305494, -0.0009451701219756817]","[0.30301379132687967, 0.09942588399158077, 0.22218392866825185]",0.5253368616104126,0.2683220387110273,0.21829832624971945,0.0012482106685638428,0.18268661912467896,root_to_obstacle_front_m
30,1,True,0.3,0.0,0.521312100542076,"[-0.004021340981125832, -0.0012555420398712158, 0.09911281615495682, 0.9999807476997375, 5.9588681324385107e-05, -0.006003714166581631, 0.0016065577510744333]","[0.521312100542076, -0.44110037649076617, 0.0]","[2.5786878040904924, 0.44110037649076617, 0.30000001192092896]","[1.5499999523162842, 0.0, 0.15000000596046448]",0.0,0.30000001192092896,2.0573757035484164,0.8822007529815323,"[{""bounds_max_m"": [0.2988510848659649, 0.0994265402019295, 0.09904615541127582], ""bounds_min_m"": [0.19884937522349555, 0.07911316426768143, -0.0009449751410176427], ""center_m"": [0.24885023004473023, 0.08926985223480546, 0.04905059013512909], ""prim_path"": ""/World/WLRRobot/front_left_wheel/collisions/front_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060672, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [0.3030217182849654, -0.3188610320716295, 0.09917200772859591], ""bounds_min_m"": [0.20297377738648545, -0.3391741294294935, -0.0008206220465340475], ""center_m"": [0.25299774783572543, -0.32901758075056153, 0.04917569284103093], ""prim_path"": ""/World/WLRRobot/front_right_wheel/collisions/front_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.2543517254936475, 0.092848316323666, 0.09989424016481106], ""bounds_min_m"": [-0.3543639494558068, 0.07253536962701607, -0.0001073814382456309], ""center_m"": [-0.3043578374747271, 0.08269184297534103, 0.04989342936328271], ""prim_path"": ""/World/WLRRobot/rear_left_wheel/collisions/rear_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060673, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.2563235308546368, -0.32345856367422554, 0.09992306451056343], ""bounds_min_m"": [-0.3563709352520904, -0.34377171953577235, -6.903603565609762e-05], ""center_m"": [-0.30634723305336364, -0.33361514160499894, 0.04992701423745367], ""prim_path"": ""/World/WLRRobot/rear_right_wheel/collisions/rear_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}]",0.04998999834060672,"[-0.3563709352520904, -0.34377171953577235, -0.0009449751410176427]","[0.3030217182849654, 0.0994265402019295, 0.22219087816137192]",0.5253334415232018,0.26831435270635057,0.21829038225711062,0.0012555420398712158,0.1840670037487562,root_to_obstacle_front_m
35,1,True,0.35,0.0,0.521312206620621,"[-0.0040219686925411224, -0.0012617707252502441, 0.09910687804222107, 0.999980628490448, 5.156129554961808e-05, -0.0060150353237986565, 0.0016225918661803007]","[0.521312206620621, -0.4411003335697252, 0.0]","[2.5786876980119473, 0.4411003335697252, 0.3499999940395355]","[1.5499999523162842, 0.0, 0.17499999701976776]",0.0,0.3499999940395355,2.0573754913913262,0.8822006671394504,"[{""bounds_max_m"": [0.29884698344759253, 0.09942909282889793, 0.0990456575599219], ""bounds_min_m"": [0.19884502814952498, 0.07911265706922553, -0.0009453108945847097], ""center_m"": [0.24884600579855876, 0.08927087494906173, 0.04905017333266859], ""prim_path"": ""/World/WLRRobot/front_left_wheel/collisions/front_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060672, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [0.30303111670909233, -0.31885832928162794, 0.09917281565529419], ""bounds_min_m"": [0.20298250001415052, -0.3391745445533631, -0.0008198712472758871], ""center_m"": [0.2530068083616214, -0.3290164369174955, 0.049176472204009156], ""prim_path"": ""/World/WLRRobot/front_right_wheel/collisions/front_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.25435473608150133, 0.09283325176962004, 0.09989344873850452], ""bounds_min_m"": [-0.3543670629051635, 0.07251715005662333, -0.00010786516921397482], ""center_m"": [-0.30436089949333245, 0.0826752009131217, 0.04989279178464527], ""prim_path"": ""/World/WLRRobot/rear_left_wheel/collisions/rear_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060673, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.2563097806831228, -0.3234736197917807, 0.09992391508070932], ""bounds_min_m"": [-0.3563582223479745, -0.3437898414145238, -6.860231030548364e-05], ""center_m"": [-0.3063340015155487, -0.3336317306031522, 0.04992765638520191], ""prim_path"": ""/World/WLRRobot/rear_right_wheel/collisions/rear_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}]",0.04998999834060672,"[-0.3563582223479745, -0.3437898414145238, -0.0009453108945847097]","[0.30303111670909233, 0.09942909282889793, 0.22218715707925768]",0.5253341753131622,0.26830539825899963,0.21828108991152873,0.0012617707252502441,0.18590996921190053,root_to_obstacle_front_m
40,1,True,0.4,0.0,0.5213121737735307,"[-0.004006700590252876, -0.001267358660697937, 0.0991356372833252, 0.9999808669090271, 9.049527579918504e-05, -0.005972886923700571, 0.0016180317616090178]","[0.5213121737735307, -0.44110036553592025, 0.0]","[2.5786877308590377, 0.44110036553592025, 0.4000000059604645]","[1.5499999523162842, 0.0, 0.20000000298023224]",0.0,0.4000000059604645,2.057375557085507,0.8822007310718405,"[{""bounds_max_m"": [0.2988624539710298, 0.0994249503243805, 0.09904857073735936], ""bounds_min_m"": [0.19886099235102844, 0.07910905930056542, -0.0009432983149657986], ""center_m"": [0.2488617231610291, 0.08926700481247296, 0.04905263621119678], ""prim_path"": ""/World/WLRRobot/front_left_wheel/collisions/front_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060672, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [0.3030523492533589, -0.3188625715668255, 0.09917039591961442], ""bounds_min_m"": [0.20300430183454493, -0.339177961705887, -0.0008221873299480917], ""center_m"": [0.25302832554395194, -0.32902026663635625, 0.04917410429483317], ""prim_path"": ""/World/WLRRobot/front_right_wheel/collisions/front_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.2543530531914115, 0.09283384940198053, 0.09989396300900748], ""bounds_min_m"": [-0.3543652945624833, 0.07251820139073764, -0.00010866363297110104], ""center_m"": [-0.3043591738769474, 0.08267602539635908, 0.04989264968801819], ""prim_path"": ""/World/WLRRobot/rear_left_wheel/collisions/rear_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060673, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.256299565487065, -0.323473052788859, 0.09992455206367623], ""bounds_min_m"": [-0.3563475754669739, -0.34378864979082063, -6.799534465561086e-05], ""center_m"": [-0.3063235704770194, -0.3336308512898398, 0.04992827835951031], ""prim_path"": ""/World/WLRRobot/rear_right_wheel/collisions/rear_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}]",0.04998999834060672,"[-0.3563475754669739, -0.34378864979082063, -0.0009432983149657986]","[0.3030523492533589, 0.0994249503243805, 0.22220849244899032]",0.5253188743637836,0.26828384822957874,0.21825982452017179,0.001267358660697937,0.1853608453565847,root_to_obstacle_front_m
5,2,True,0.05,0.0,0.5213121737735307,"[-0.003994563594460487, -0.0012697502970695496, 0.09914501756429672, 0.9999810457229614, 0.00010677887621568516, -0.005956487730145454, 0.0016162525862455368]","[0.5213121737735307, -0.44110036553592025, 0.0]","[2.5786877308590377, 0.44110036553592025, 0.05000000074505806]","[1.5499999523162842, 0.0, 0.02500000037252903]",0.0,0.05000000074505806,2.057375557085507,0.8822007310718405,"[{""bounds_max_m"": [0.298871398229299, 0.09942321733691478, 0.09905012406729848], ""bounds_min_m"": [0.1988702350111255, 0.07910753311296269, -0.0009420356808763283], ""center_m"": [0.24887081662021224, 0.08926537522493874, 0.04905404419321108], ""prim_path"": ""/World/WLRRobot/front_left_wheel/collisions/front_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060672, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [0.3030706611163343, -0.31886437469840534, 0.09916755198135699], ""bounds_min_m"": [0.20302311578546967, -0.33917944896688523, -0.0008247193423647214], ""center_m"": [0.25304688845090195, -0.3290219118326453, 0.04917141631949613], ""prim_path"": ""/World/WLRRobot/front_right_wheel/collisions/front_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.2543490790911906, 0.09283397664730574, 0.09989377861891405], ""bounds_min_m"": [-0.35436127330416345, 0.07251837498435353, -0.00010937521396774813], ""center_m"": [-0.30435517619767705, 0.08267617581582963, 0.049892201702473146], ""prim_path"": ""/World/WLRRobot/rear_left_wheel/collisions/rear_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060673, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.25628829891991445, -0.3234730819773209, 0.09992436710860012], ""bounds_min_m"": [-0.3563359621863681, -0.34378845492842486, -6.801475808697333e-05], ""center_m"": [-0.30631213055314127, -0.3336307684528729, 0.04992817617525657], ""prim_path"": ""/World/WLRRobot/rear_right_wheel/collisions/rear_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}]",0.04998999834060672,"[-0.3563359621863681, -0.34378845492842486, -0.0009420356808763283]","[0.3030706611163343, 0.09942321733691478, 0.2222150919588444]",0.5253067373679912,0.2682652853226287,0.21824151265719638,0.0012697502970695496,0.1851459705870987,root_to_obstacle_front_m
5,3,True,0.05,0.0,0.5213121737735307,"[-0.003992142155766487, -0.001270204782485962, 0.09914769232273102, 0.9999809861183167, 0.00011010728485416621, -0.005952091887593269, 0.0016158503713086247]","[0.5213121737735307, -0.44110036553592025, 0.0]","[2.5786877308590377, 0.44110036553592025, 0.05000000074505806]","[1.5499999523162842, 0.0, 0.02500000037252903]",0.0,0.05000000074505806,2.057375557085507,0.8822007310718405,"[{""bounds_max_m"": [0.2988734831247316, 0.0994229050889358, 0.09905051203935455], ""bounds_min_m"": [0.19887236753765775, 0.07910726430196072, -0.0009417117980172057], ""center_m"": [0.24887292533119468, 0.08926508469544825, 0.049054400120668674], ""prim_path"": ""/World/WLRRobot/front_left_wheel/collisions/front_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060672, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [0.3030736271618869, -0.31886472962991014, 0.09916701891680911], ""bounds_min_m"": [0.20302615381681918, -0.33917975058537475, -0.0008252222338801518], ""center_m"": [0.25304989048935306, -0.32902224010764247, 0.04917089834146448], ""prim_path"": ""/World/WLRRobot/front_right_wheel/collisions/front_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.25434791103370274, 0.09283409691923941, 0.09989428351282607], ""bounds_min_m"": [-0.35436010131108603, 0.07251850892942087, -0.00010900322970718718], ""center_m"": [-0.3043540061723944, 0.08267630292433015, 0.04989264014155945], ""prim_path"": ""/World/WLRRobot/rear_left_wheel/collisions/rear_left_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060673, ""radius_source"": ""live_body_mesh_points""}, {""bounds_max_m"": [-0.2562862071787817, -0.3234728431541118, 0.09992427603903453], ""bounds_min_m"": [-0.35633377767618785, -0.3437881579107477, -6.806229809817876e-05], ""center_m"": [-0.3063099924274848, -0.3336305005324297, 0.04992810687046818], ""prim_path"": ""/World/WLRRobot/rear_right_wheel/collisions/rear_right_wheel/node_STL_BINARY_"", ""radius_m"": 0.04998999834060669, ""radius_source"": ""live_body_mesh_points""}]",0.04998999834060672,"[-0.35633377767618785, -0.3437881579107477, -0.0009417117980172057]","[0.3030736271618869, 0.0994229050889358, 0.22221692240296304]",0.5253043159292972,0.2682622832841776,0.21823854661164377,0.001270204782485962,0.1850976305635787,root_to_obstacle_front_m
