test_index,requested_velocity_rad_s,start_requested_wall_time,start_generation,measured_velocity_before_stop_rad_s,stop_click_wall_time,ui_callback_latency_s,stop_command_id,stop_generation,stop_command_requested_wall_time,zero_command_enqueue_wall_time,zero_target_applied_wall_time,measured_stop_wall_time,ipc_enqueue_latency_s,worker_apply_latency_s,command_stop_latency_s,physical_stop_latency_s,stop_tolerance_rad_s,measured_velocity_after_stop_rad_s,stale_command_detected,pass
1,0.3,1785822636.6248288,1,"{""front_left_ankle"": 0.316182017326355, ""front_right_ankle"": 0.3244505226612091, ""rear_left_ankle"": 0.2857246994972229, ""rear_right_ankle"": 0.27980586886405945}",1785822637.0237713,0.006450999993830919,00008174692c442c9e26dd7e52c0e633,2,1785822637.024274,1785822637.0242832,1785822637.0286653,1785822637.0697238,9.059906005859375e-06,0.004382133483886719,0.0048940181732177734,0.04105854034423828,0.1,"{""front_left_ankle"": 0.011616213247179985, ""front_right_ankle"": 0.020163850858807564, ""rear_left_ankle"": -0.007389315403997898, ""rear_right_ankle"": -0.01382055226713419}",True,True
2,0.3,1785822637.6284146,2,"{""front_left_ankle"": 0.12913371622562408, ""front_right_ankle"": 0.2780695855617523, ""rear_left_ankle"": 0.2963259816169739, ""rear_right_ankle"": 0.2890385389328003}",1785822637.8769717,0.007599700009450316,4523d0d94fde4bff8f5406755a2dfebf,3,1785822637.8773885,1785822637.8774006,1785822637.8913455,1785822637.9183571,1.2159347534179688e-05,0.013944864273071289,0.014373779296875,0.027011632919311523,0.1,"{""front_left_ankle"": -0.0033579396549612284, ""front_right_ankle"": 0.0033202716149389744, ""rear_left_ankle"": 0.007446671836078167, ""rear_right_ankle"": -0.017973368987441063}",True,True
3,0.3,1785822638.194682,3,"{""front_left_ankle"": 0.29543939232826233, ""front_right_ankle"": 0.292131632566452, ""rear_left_ankle"": 0.3114809989929199, ""rear_right_ankle"": 0.2895576059818268}",1785822638.3018928,0.004529699916020036,27ea3f4c530c4bf69992fc3975b25121,4,1785822638.302027,1785822638.3020325,1785822638.3188713,1785822638.3463814,5.4836273193359375e-06,0.016838788986206055,0.01697850227355957,0.02751016616821289,0.1,"{""front_left_ankle"": -0.00938116479665041, ""front_right_ankle"": -0.011149793863296509, ""rear_left_ankle"": 0.015272132121026516, ""rear_right_ankle"": -0.003552734851837158}",True,True
4,0.3,1785822638.6624982,4,"{""front_left_ankle"": 0.29169362783432007, ""front_right_ankle"": 0.3106943368911743, ""rear_left_ankle"": 0.31918755173683167, ""rear_right_ankle"": 0.2980758249759674}",1785822638.9039965,0.0037620998919010162,31b4ccb31ea84670a6d1ce09eb725110,5,1785822638.9044592,1785822638.904469,1785822638.9065988,1785822638.9336529,9.775161743164062e-06,0.002129793167114258,0.0026023387908935547,0.0270540714263916,0.1,"{""front_left_ankle"": -0.010675067082047462, ""front_right_ankle"": -0.015268336050212383, ""rear_left_ankle"": 0.022413646802306175, ""rear_right_ankle"": 0.006933815777301788}",True,True
5,0.3,1785822639.2646492,5,"{""front_left_ankle"": 0.2816169559955597, ""front_right_ankle"": 0.28812000155448914, ""rear_left_ankle"": 0.31654056906700134, ""rear_right_ankle"": 0.31810110807418823}",1785822639.6272824,0.020262999925762415,a2c551435105493da15a3daf158859ac,6,1785822639.6275244,1785822639.627544,1785822639.6344907,1785822639.665546,1.9550323486328125e-05,0.0069468021392822266,0.007208347320556641,0.031055212020874023,0.1,"{""front_left_ankle"": -0.018352821469306946, ""front_right_ankle"": -0.011503532528877258, ""rear_left_ankle"": 0.016810035333037376, ""rear_right_ankle"": 0.016755416989326477}",True,True
6,0.3,1785822640.3505628,6,"{""front_left_ankle"": 0.26763781905174255, ""front_right_ankle"": 0.30238035321235657, ""rear_left_ankle"": 0.31918635964393616, ""rear_right_ankle"": 0.33037012815475464}",1785822640.7168653,0.00361550017260015,8e373e291ed84db692cae1d0fb88343c,7,1785822640.7170558,1785822640.717077,1785822640.7305386,1785822640.7600665,2.1219253540039062e-05,0.013461589813232422,0.01367330551147461,0.029527902603149414,0.1,"{""front_left_ankle"": -0.011558335274457932, ""front_right_ankle"": -0.006214956287294626, ""rear_left_ankle"": 0.017099056392908096, ""rear_right_ankle"": 0.017741013318300247}",True,True
7,0.3,1785822641.0990834,7,"{""front_left_ankle"": 0.28945615887641907, ""front_right_ankle"": 0.2788691818714142, ""rear_left_ankle"": 0.3322031795978546, ""rear_right_ankle"": 0.3047441244125366}",1785822641.2103384,0.01838829996995628,6d3c938897c840a48a38f12f34c28f58,8,1785822641.2104368,1785822641.2104409,1785822641.2127457,1785822641.2397132,4.0531158447265625e-06,0.0023047924041748047,0.0024073123931884766,0.026967525482177734,0.1,"{""front_left_ankle"": -0.008078576996922493, ""front_right_ankle"": -0.01316588930785656, ""rear_left_ankle"": 0.014189613051712513, ""rear_right_ankle"": 0.008149208500981331}",True,True
8,0.3,1785822641.5813313,8,"{""front_left_ankle"": 0.29136180877685547, ""front_right_ankle"": 0.28516885638237, ""rear_left_ankle"": 0.3125823438167572, ""rear_right_ankle"": 0.2952590584754944}",1785822641.6922822,0.005282799946144223,c8244f9d7c184c1bb7add3fcb774411d,9,1785822641.6923835,1785822641.6923878,1785822641.7069619,1785822641.7345572,4.291534423828125e-06,0.014574050903320312,0.014679670333862305,0.02759528160095215,0.1,"{""front_left_ankle"": -0.00573872122913599, ""front_right_ankle"": -0.01220269501209259, ""rear_left_ankle"": 0.010576345026493073, ""rear_right_ankle"": 0.0029477491043508053}",True,True
9,0.3,1785822642.3409815,9,"{""front_left_ankle"": 0.29353076219558716, ""front_right_ankle"": 0.28607726097106934, ""rear_left_ankle"": 0.3171340823173523, ""rear_right_ankle"": 0.29687148332595825}",1785822642.476079,0.005915800109505653,24bce54c8edb484fb37b136fb2cd379f,10,1785822642.4762614,1785822642.4762707,1785822642.4864717,1785822642.5131476,9.298324584960938e-06,0.010200977325439453,0.01039266586303711,0.026675939559936523,0.1,"{""front_left_ankle"": -0.008732229471206665, ""front_right_ankle"": -0.011114873923361301, ""rear_left_ankle"": 0.014213522896170616, ""rear_right_ankle"": -0.0006059072911739349}",True,True
10,0.3,1785822642.8491404,10,"{""front_left_ankle"": 0.2977364659309387, ""front_right_ankle"": 0.28665679693222046, ""rear_left_ankle"": 0.31745079159736633, ""rear_right_ankle"": 0.30012598633766174}",1785822642.962648,0.020964200142771006,49f5211cc16343f19a5dfba96ecaec8b,11,1785822642.962812,1785822642.962818,1785822642.9725645,1785822642.998587,5.9604644775390625e-06,0.009746551513671875,0.009916543960571289,0.02602243423461914,0.1,"{""front_left_ankle"": -0.005316088907420635, ""front_right_ankle"": -0.011213990859687328, ""rear_left_ankle"": 0.014638147316873074, ""rear_right_ankle"": 0.0033853871282190084}",True,True
