height_cm,respawn_iteration,root_pose_wxyz,front_wheel_centers_xyz,obstacle_front_face_x_m,root_to_obstacle_front_m,front_wheel_center_to_obstacle_front_m,robot_collision_front_to_obstacle_front_m,lateral_alignment_m,yaw_alignment_error_deg,robot_collision_min_z_m
5,1,-0.00390973687171936;-0.001187145709991455;0.09912241995334625;0.9999808073043823;0.0000479043665109202;-0.006019894964993;0.0014738021418452263,0.24893072975434963:0.08926994628570498:0.04906604208795333|0.2530170196597812:-0.3290185763352409:0.049179695734764474,0.5213121737735307,0.52522191064525,0.2682951541137495,0.21827317404478164,0.001187145709991455,0.16886148142162918,-0.000928093370685501
5,2,-0.003994563594460487;-0.0012697502970695496;0.09914501756429672;0.9999810457229614;0.00010677887621568516;-0.005956487730145454;0.0016162525862455368,0.24887081662021224:0.08926537522493874:0.04905404419321108|0.25304688845090195:-0.3290219118326453:0.04917141631949613,0.5213121737735307,0.5253067373679912,0.2682652853226287,0.21824151265719638,0.0012697502970695496,0.1851459705870987,-0.0009420356808763283
5,3,-0.003992142155766487;-0.001270204782485962;0.09914769232273102;0.9999809861183167;0.00011010728485416621;-0.005952091887593269;0.0016158503713086247,0.24887292533119468:0.08926508469544825:0.049054400120668674|0.25304989048935306:-0.32902224010764247:0.04917089834146448,0.5213121737735307,0.5253043159292972,0.2682622832841776,0.21823854661164377,0.001270204782485962,0.1850976305635787,-0.0009417117980172057
5,4,-0.003991493955254555;-0.001270398497581482;0.09914793819189072;0.9999810457229614;0.00011134382657473907;-0.005953993182629347;0.0016159771475940943,0.2488732073732008:0.08926507639694399:0.0490545943428075|0.25305153206698966:-0.32902233103337564:0.04917094352330213,0.5213121737735307,0.5253036677287852,0.268260641706541,0.21823689590683232,0.001270398497581482,0.18511131059362582,-0.0009415346661332605
5,5,-0.003991171717643738;-0.001270189881324768;0.09914714097976685;0.9999810457229614;0.0001102814421756193;-0.005953771062195301;0.001616014284081757,0.2488733253668708:0.08926520336187847:0.04905450735245732|0.253051860074346:-0.32902215035372123:0.04917078366313262,0.5213121737735307,0.5253033454911744,0.2682603136991847,0.21823659425188974,0.001270189881324768,0.18511629308127533,-0.0009415980408140345
5,6,-0.003991065546870232;-0.0012704357504844666;0.0991477519273758;0.9999810457229614;0.0001114592159865424;-0.005954112391918898;0.001615958521142602,0.24887359375288115:0.08926504538346332:0.049054591561455474|0.2530522161994015:-0.3290223298586224:0.04917071715109544,0.5213121737735307,0.5253032393204009,0.2682599575741292,0.21823623161711414,0.0012704357504844666,0.18510909630762226,-0.0009415284067540927
5,7,-0.00399070605635643;-0.0012703537940979004;0.099147729575634;0.9999809861183167;0.00011090176849393174;-0.005952512379735708;0.0016159137012436986,0.24887374504245752:0.08926505427343757:0.04905455009940973|0.2530522159025327:-0.32902221112993185:0.04917066794240807,0.5213121737735307,0.5253028798298871,0.268259957870998,0.21823622847511814,0.0012703537940979004,0.18510434264224504,-0.00094156020075533
5,8,-0.003991471603512764;-0.0012699887156486511;0.09914498776197433;0.9999810457229614;0.00010842405026778579;-0.005955990869551897;0.0016162674874067307,0.24887281367560385:0.08926524679039381:0.04905451506203611|0.25305210473869977:-0.32902200316576885:0.049170587861662986,0.5213121737735307,0.5253036453770434,0.2682600690348309,0.21823633090234895,0.0012699887156486511,0.1851465592047901,-0.0009415542479623701
5,9,-0.0039907656610012054;-0.0012700781226158142;0.09914632886648178;0.9999809861183167;0.00010924029629677534;-0.005953588057309389;0.0016160440864041448,0.24887356416568696:0.08926520374913857:0.04905456056649794|0.25305245710281016:-0.32902209186195897:0.04917068081494978,0.5213121737735307,0.5253029394345319,0.2682597166707205,0.21823599476525984,0.0012700781226158142,0.1851204091870741,-0.0009415233093106115
5,10,-0.003990562632679939;-0.0012700483202934265;0.09914641082286835;0.9999810457229614;0.00010919659689534456;-0.005952791776508093;0.001615973305888474,0.24887381835890968:0.08926513583630226:0.04905462759202602|0.25305245676315896:-0.32902215341492214:0.04917065585209311,0.5213121737735307,0.5253027364062106,0.2682597170103717,0.21823597518229831,0.0012700483202934265,0.18511234518165876,-0.0009414456457366438
