test_index,requested_velocity_rad_s,stop_click_wall_time,zero_command_enqueue_wall_time,zero_target_applied_wall_time,measured_stop_wall_time,ui_callback_latency_s,ipc_enqueue_latency_s,worker_apply_latency_s,command_stop_latency_s,physical_stop_latency_s,stop_tolerance_rad_s,stale_command_detected,pass
1,0.3,1785822637.0237713,1785822637.0242832,1785822637.0286653,1785822637.0697238,0.006450999993830919,0.00000905990600585938,0.004382133483886719,0.0048940181732177734,0.04105854034423828,0.1,true,true
2,0.3,1785822637.8769717,1785822637.8774006,1785822637.8913455,1785822637.9183571,0.007599700009450316,0.0000121593475341797,0.013944864273071289,0.014373779296875,0.027011632919311523,0.1,true,true
3,0.3,1785822638.3018928,1785822638.3020325,1785822638.3188713,1785822638.3463814,0.004529699916020036,0.00000548362731933594,0.016838788986206055,0.01697850227355957,0.02751016616821289,0.1,true,true
4,0.3,1785822638.9039965,1785822638.904469,1785822638.9065988,1785822638.9336529,0.0037620998919010162,0.00000977516174316406,0.002129793167114258,0.0026023387908935547,0.0270540714263916,0.1,true,true
5,0.3,1785822639.6272824,1785822639.627544,1785822639.6344907,1785822639.665546,0.020262999925762415,0.0000195503234863281,0.0069468021392822266,0.007208347320556641,0.031055212020874023,0.1,true,true
6,0.3,1785822640.7168653,1785822640.717077,1785822640.7305386,1785822640.7600665,0.00361550017260015,0.0000212192535400391,0.013461589813232422,0.01367330551147461,0.029527902603149414,0.1,true,true
7,0.3,1785822641.2103384,1785822641.2104409,1785822641.2127457,1785822641.2397132,0.01838829996995628,0.00000405311584472656,0.0023047924041748047,0.0024073123931884766,0.026967525482177734,0.1,true,true
8,0.3,1785822641.6922822,1785822641.6923878,1785822641.7069619,1785822641.7345572,0.005282799946144223,0.00000429153442382813,0.014574050903320312,0.014679670333862305,0.02759528160095215,0.1,true,true
9,0.3,1785822642.476079,1785822642.4762707,1785822642.4864717,1785822642.5131476,0.005915800109505653,0.00000929832458496094,0.010200977325439453,0.01039266586303711,0.026675939559936523,0.1,true,true
10,0.3,1785822642.962648,1785822642.962818,1785822642.9725645,1785822642.998587,0.020964200142771006,0.00000596046447753906,0.009746551513671875,0.009916543960571289,0.02602243423461914,0.1,true,true
11,0.3,1785822643.462563,1785822643.4627469,1785822643.4792829,1785822643.506186,0.00834770011715591,0.00000858306884765625,0.01653599739074707,0.016719818115234375,0.026903152465820312,0.1,true,true
12,0.3,1785822644.3129013,1785822644.3145533,1785822644.330352,1785822644.3572905,0.00832919985987246,0.0000464916229248047,0.01579880714416504,0.017450809478759766,0.026938438415527344,0.1,true,true
13,0.3,1785822645.4198558,1785822645.4199812,1785822645.4338884,1785822645.461742,0.0034307001624256372,0.00000429153442382813,0.013907194137573242,0.014032602310180664,0.02785348892211914,0.1,true,true
14,0.3,1785822646.1618922,1785822646.161987,1785822646.1629694,1785822646.189476,0.0031397000420838594,0.000003814697265625,0.0009822845458984375,0.0010771751403808594,0.026506662368774414,0.1,true,true
15,0.3,1785822646.9064565,1785822646.9065788,1785822646.9253511,1785822646.951941,0.0030684000812470913,0.00000452995300292969,0.018772363662719727,0.018894672393798828,0.02658987045288086,0.1,true,true
16,0.3,1785822647.3983526,1785822647.3984504,1785822647.415574,1785822647.4430964,0.0043132000137120485,0.00000476837158203125,0.017123699188232422,0.017221450805664062,0.02752232551574707,0.1,true,true
17,0.3,1785822647.8814101,1785822647.8815732,1785822647.885679,1785822647.9129293,0.007664899807423353,0.00000882148742675781,0.004105806350708008,0.0042688846588134766,0.027250289916992188,0.1,true,true
18,0.3,1785822648.4006853,1785822648.4012616,1785822648.4125202,1785822648.4400418,0.005263800034299493,0.00002288818359375,0.011258602142333984,0.011834859848022461,0.027521610260009766,0.1,true,true
19,0.3,1785822648.8819818,1785822648.8820765,1785822648.9014256,1785822648.92874,0.002698600059375167,0.00000476837158203125,0.019349098205566406,0.019443750381469727,0.027314424514770508,0.1,true,true
20,0.3,1785822649.392961,1785822649.3930614,1785822649.3942692,1785822649.4218664,0.002675499999895692,0.00000452995300292969,0.0012078285217285156,0.0013082027435302734,0.02759718894958496,0.1,true,true
