profile,step,segment,global_commands,commands,planned_start_sim_s,actual_start_sim_s,actual_end_sim_s,max_residual_deg,effective_tolerance_deg,completion_decision,completion_warning,stop_reason
raw,1,0,1,servo rear_left_hip 5.8,7.283333333329566,7.283333333333485,7.416666666666825,0.8432406190056492,,exact_completion,,
raw,1,1,2,servo rear_left_hip 12.2,7.321999999996232,7.416666666666825,7.550000000000165,0.3778260290090252,,exact_completion,,
raw,1,2,3,servo rear_left_hip 13.2,7.5219999999960505,7.750000000000175,7.816666666666845,0.7183880555718609,,exact_completion,,
raw,2,3,4,servo front_right_hip -2.6,17.521999999986956,17.816666666666297,17.88333333333296,0.7754217933261074,,exact_completion,,
raw,2,4,5,servo front_right_hip -15.4,17.721999999986775,18.08333333333295,18.416666666666263,0.9008478578597199,,exact_completion,,
raw,2,5,6,servo front_right_hip 2.6,18.32199999998623,18.949999999999566,19.28333333333288,0.19825796157422904,,exact_completion,,
raw,2,6,7,servo front_right_hip 7.9,18.521999999986047,19.416666666666206,19.48333333333287,0.7002592811296573,,exact_completion,,
raw,2,7,8,servo front_right_hip 12.2,18.721999999985865,19.683333333332858,19.816666666666183,0.5313683474647473,,exact_completion,,
raw,2,8,9,servo front_right_hip 16.4,19.921999999984774,21.016666666666115,21.083333333332778,0.17985896317830097,,exact_completion,,
raw,2,9,10,servo front_right_hip 20.6,20.12199999998459,21.283333333332767,21.416666666666092,0.5648342883376216,,exact_completion,,
raw,2,10,11,servo front_right_hip 24.9,20.721999999984046,22.016666666666058,22.08333333333272,0.2532223577017909,,exact_completion,,
raw,3,11,12,wheel all 0.3,23.388666666648287,24.749999999999236,38.14999999999848,0.0,,exact_completion,,
raw,3,12,13,wheel stop,36.788666666636104,38.14999999999848,38.14999999999848,0.0,,exact_completion,,
raw,4,13,14,servo front_right_knee 1.4,39.52199999996695,40.883333333331656,40.94999999999832,0.4141601104737138,,exact_completion,,
raw,4,14,15,servo front_right_knee 20.5,39.72199999996677,41.14999999999831,41.41666666666496,0.28123693569957453,,exact_completion,,
raw,4,15,16,servo front_right_knee 21.5,39.92199999996659,41.549999999998285,41.68333333333161,0.26995816412805596,,exact_completion,,
raw,4,16,17,servo front_right_hip 21.7,41.72199999996495,43.48333333333151,43.616666666664834,0.7906591828504581,,exact_completion,,
raw,4,17,18,servo front_right_hip 14.3,41.74333333329828,43.616666666664834,43.74999999999816,0.17942240177343471,,exact_completion,,
raw,4,18,19,servo front_right_hip 12.2,41.9433333332981,43.94999999999815,44.01666666666481,0.6048976539903421,,exact_completion,,
raw,4,19,20,servo front_right_hip 9.0,42.14333333329792,44.2166666666648,44.349999999998126,0.810668177006006,,exact_completion,,
raw,4,20,21,servo front_right_hip 10.1,42.543333333297554,44.7499999999981,44.88333333333143,0.010207267617836635,,exact_completion,,
raw,5,21,22;23;24;25;26;27;28;29;30,servo front_left_hip 0 | servo front_left_knee -13.4 | servo front_right_hip 10.1 | servo front_right_knee 21.5 | servo rear_left_hip 13.2 | servo rear_left_knee 0 | servo rear_right_hip 0 | servo rear_right_knee 0 | wheel fl -0.68,53.40999999995434,55.74999999999748,56.616666666664095,0.7334172020199331,,exact_completion,,
raw,5,22,31,wheel stop,54.20999999995361,56.616666666664095,56.616666666664095,0.0,,exact_completion,,
raw,6,23,32,servo rear_left_hip 12.2,60.676666666614395,63.083333333330394,63.14999999999706,0.31503092171800695,,exact_completion,,
