profile,selected_index,restore_request_id,sequence,event,relative_seconds
raw,5,d1700854517e4c8fa6e4d34219e3e2b7,1,operation_acquired,0.000000
raw,5,d1700854517e4c8fa6e4d34219e3e2b7,2,stop_wheels_sent,0.000405
raw,5,d1700854517e4c8fa6e4d34219e3e2b7,3,restore_sent,0.000725
raw,5,d1700854517e4c8fa6e4d34219e3e2b7,4,restore_acknowledged,0.120243
raw,5,d1700854517e4c8fa6e4d34219e3e2b7,5,state_requested,0.120540
raw,5,d1700854517e4c8fa6e4d34219e3e2b7,6,state_verified,0.425678
raw,5,d1700854517e4c8fa6e4d34219e3e2b7,7,playback_start_requested,0.427536
fast,5,174974bd5ec84a95b0e2f4a4d0fb65d9,1,operation_acquired,0.000000
fast,5,174974bd5ec84a95b0e2f4a4d0fb65d9,2,stop_wheels_sent,0.000521
fast,5,174974bd5ec84a95b0e2f4a4d0fb65d9,3,restore_sent,0.000747
fast,5,174974bd5ec84a95b0e2f4a4d0fb65d9,4,restore_acknowledged,0.068762
fast,5,174974bd5ec84a95b0e2f4a4d0fb65d9,5,state_requested,0.070166
fast,5,174974bd5ec84a95b0e2f4a4d0fb65d9,6,state_verified,0.193404
fast,5,174974bd5ec84a95b0e2f4a4d0fb65d9,7,playback_start_requested,0.195827
fast-step1,1,9d033852372a465bbb7c1eb43954a0ac,1,operation_acquired,0.000000
fast-step1,1,9d033852372a465bbb7c1eb43954a0ac,2,stop_wheels_sent,0.000357
fast-step1,1,9d033852372a465bbb7c1eb43954a0ac,3,restore_sent,0.000642
fast-step1,1,9d033852372a465bbb7c1eb43954a0ac,4,restore_acknowledged,0.063460
fast-step1,1,9d033852372a465bbb7c1eb43954a0ac,5,state_requested,0.064208
fast-step1,1,9d033852372a465bbb7c1eb43954a0ac,6,state_verified,0.180144
fast-step1,1,9d033852372a465bbb7c1eb43954a0ac,7,playback_start_requested,0.181920
