sample_index,time_s,sim_step,obstacle_height_cm,obstacle_height_m,base_x_m,base_y_m,base_z_m,base_qw,base_qx,base_qy,base_qz,base_roll_rad,base_pitch_rad,base_yaw_rad,base_vx_m_s,base_vy_m_s,base_vz_m_s,base_wx_rad_s,base_wy_rad_s,base_wz_rad_s,total_mass_kg,com_x_m,com_y_m,com_z_m,com_vx_m_s,com_vy_m_s,com_vz_m_s,com_source,com_warning,com_projection_x_m,com_projection_y_m,com_projection_z_m,static_stability_margin_m,dynamic_stability_margin_m,stability_state,dynamic_stability_state,support_area_m2,support_perimeter_m,active_contact_count,support_polygon_w,support_degenerate,contact_geometry_source,max_contact_force_n,max_friction_utilization,max_wheel_slip_ratio,equilibrium_status,equilibrium_stability_margin_m,equilibrium_area_m2,equilibrium_solver_time_ms,equilibrium_vertices_w,tracking_rmse_rad,max_abs_tracking_error_rad,max_torque_utilization,max_torque_joint,total_positive_work_j,command_target_source,warnings,selected_step_sequence,step_sequence_phase,step_index,step_progress,replay_state,replay_event_index,replay_event_count,last_replay_command,sequence_interruption,sequence_retry,sequence_success,failure_reason,sample_overhead_ms
0,1.058333333333332,127,5,0.05,-0.004690257832407951,-0.0009380578994750977,0.09873247146606445,0.9999859929084778,1.5127207916521002e-05,-0.005103264003992081,0.0014646014897152781,1.5306290517380367e-05,-0.010206604783682136,0.002929163801790746,0.01219194009900093,-0.0013491326244547963,0.006654603872448206,0.0036282914225012064,-0.0006312823970802128,0.0024057787377387285,2.9308585226535797,-0.028033960275360044,-0.1220319438815617,0.15450611205331077,0.012664132776733828,-0.0012455199299290605,0.0036076237824139855,isaaclab.ArticulationData.body_com_state_w,,-0.028033960275360044,-0.1220319438815617,-0.0005504267177526894,0.19832082590785546,0.19859924381769692,safe,safe,0.22168690941770175,1.9106356210021,4,"[[-0.30811816453933716, -0.3232194483280182, -0.0005504267177526894], [0.25302162766456604, -0.31877580285072327, -0.0005504267177526894], [0.24942903220653537, 0.0795154720544815, -0.0005504267177526894], [-0.3053854703903198, 0.07309018075466156, -0.0005504267177526894]]",False,sensor_force_with_wheel_geometry_approximation,8.383948326110914,nan,nan,success,0.19832082590785546,0.22168690941770175,146.0802999790758,"[[-0.3081181645393372, -0.3232194483280182, -0.0005504267177526894], [0.25302162766456604, -0.31877580285072327, -0.0005504267177526894], [0.24942903220653537, 0.07951547205448148, -0.0005504267177526894], [-0.3053854703903198, 0.07309018075466159, -0.0005504267177526894]]",0.03119404706356436,0.06951097398996353,1.0,front_left_ankle,0.010919064850654567,adapter.command_state,,5cm accepted steps,command,1,6.208110772551004e-05,active,0,269,wheel all 0.3,0,0,,,202.85570004489273
1,1.083333333333332,130,5,0.05,-0.004000406712293625,-0.0009401217103004456,0.0987868458032608,0.9999850392341614,3.913395630661398e-05,-0.005276634357869625,0.0014632873935624957,6.282777127336316e-05,-0.010553420576821055,0.002926284955661173,0.012923965230584145,-0.0012942457105964422,0.0065542408265173435,0.0031361987348645926,-0.0011927097802981734,0.0024663973599672318,2.9308585226535797,-0.027366358396489925,-0.12203665941599419,0.15454548695069872,0.013245182684015724,-0.0012047845918232863,0.0034572842506335045,isaaclab.ArticulationData.body_com_state_w,,-0.027366358396489925,-0.12203665941599419,-0.0005197436879597841,0.19832562263132753,0.1985972340411269,safe,safe,0.22168761726758035,1.9106391177886148,4,"[[-0.3074233829975128, -0.323218435049057, -0.0005197436879597841], [0.2537243664264679, -0.31877613067626953, -0.0005197436879597841], [0.25012117624282837, 0.07951523363590239, -0.0005197436879597841], [-0.3046886920928955, 0.07309119403362273, -0.0005197436879597841]]",False,sensor_force_with_wheel_geometry_approximation,8.238751411438063,nan,nan,success,0.19832082590785546,0.22168690941770175,146.0802999790758,"[[-0.3081181645393372, -0.3232194483280182, -0.0005504267177526894], [0.25302162766456604, -0.31877580285072327, -0.0005504267177526894], [0.24942903220653537, 0.07951547205448148, -0.0005504267177526894], [-0.3053854703903198, 0.07309018075466159, -0.0005504267177526894]]",0.02999321913235057,0.05733997002243996,0.6747638618546263,rear_left_hip,0.012741582389385124,adapter.command_state,,5cm accepted steps,command,1,0.00024832443090204014,active,0,269,wheel all 0.3,0,0,,,583.1576000200585
2,1.1083333333333318,133,5,0.05,-0.0032992660999298096,-0.0009424686431884766,0.09883467108011246,0.9999842047691345,6.615957681788132e-05,-0.005449964664876461,0.0014615601394325495,0.0001163930467438221,-0.010900163650301392,0.002922530011532234,0.012979591265320778,-0.0012891259975731373,0.006450542714446783,0.0033437220845371485,-0.0011900890385732055,0.002322711981832981,2.9308585226535797,-0.026688629234352522,-0.1220419923536803,0.1545764757522041,0.013292032927862709,-0.0011936800660008818,0.003329671489832098,isaaclab.ArticulationData.body_com_state_w,,-0.026688629234352522,-0.1220419923536803,-0.0004921248902223142,0.19833104954162817,0.19860054044679637,safe,safe,0.22168791147722386,1.9106405309680845,4,"[[-0.306720495223999, -0.3232172131538391, -0.0004921248902223142], [0.2544330954551697, -0.3187766671180725, -0.0004921248902223142], [0.25082066655158997, 0.07951471209526062, -0.0004921248902223142], [-0.303984671831131, 0.07309244573116302, -0.0004921248902223142]]",False,sensor_force_with_wheel_geometry_approximation,8.166414260864332,nan,nan,success,0.19832082590785546,0.22168690941770175,146.0802999790758,"[[-0.3081181645393372, -0.3232194483280182, -0.0005504267177526894], [0.25302162766456604, -0.31877580285072327, -0.0005504267177526894], [0.24942903220653537, 0.07951547205448148, -0.0005504267177526894], [-0.3053854703903198, 0.07309018075466159, -0.0005504267177526894]]",0.031096539516199236,0.07216021418571472,0.875606344795115,rear_left_hip,0.015555748273228554,adapter.command_state,,5cm accepted steps,command,1,0.00043456775407857027,active,0,269,wheel all 0.3,0,0,,,11.000999948009849
3,1.1333333333333317,136,5,0.05,-0.0025930702686309814,-0.0009453818202018738,0.09887474030256271,0.9999831914901733,9.458343993173912e-05,-0.0056233094073832035,0.001460696803405881,0.00017274670105602358,-0.011246941542660316,0.002920469187811993,0.012838395312428474,-0.0013492589350789785,0.00623658113181591,0.003813589457422495,-0.0013624995481222868,0.0022682975977659225,2.9308585226535797,-0.026005624392057454,-0.12204807534622929,0.15459834737128184,0.013163205152680347,-0.0012403833972271432,0.0031178696505541293,isaaclab.ArticulationData.body_com_state_w,,-0.026005624392057454,-0.12204807534622929,-0.0004744179810759811,0.1983367403663386,0.1986152697714404,safe,safe,0.22168785716021477,1.9106402458149674,4,"[[-0.30601057410240173, -0.32321682572364807, -0.0004744179810759811], [0.255146324634552, -0.3187771141529083, -0.0004744179810759811], [0.2515254318714142, 0.07951422035694122, -0.0004744179810759811], [-0.3032764494419098, 0.07309269160032272, -0.0004744179810759811]]",False,sensor_force_with_wheel_geometry_approximation,8.158048629760817,nan,nan,success,0.19832082590785546,0.22168690941770175,146.0802999790758,"[[-0.3081181645393372, -0.3232194483280182, -0.0005504267177526894], [0.25302162766456604, -0.31877580285072327, -0.0005504267177526894], [0.24942903220653537, 0.07951547205448148, -0.0005504267177526894], [-0.3053854703903198, 0.07309018075466159, -0.0005504267177526894]]",0.03432985614881389,0.08707696199417114,0.7134806542311659,rear_left_hip,0.01739938383045912,adapter.command_state,,5cm accepted steps,command,1,0.0006208110772551004,active,0,269,wheel all 0.3,0,0,,,13.628699933178723
4,1.1583333333333317,139,5,0.05,-0.0018870830535888672,-0.0009458959102630615,0.0988968014717102,0.9999821186065674,0.00011489186726976186,-0.005810359492897987,0.0014584299642592669,0.00021284596541513076,-0.011621106280807734,0.0029156732520754566,0.012833410874009132,-0.0012711285380646586,0.005966282449662685,0.0026700287126004696,-0.002246601041406393,0.0026325727812945843,2.9308585226535797,-0.02532413678088086,-0.12205079796615713,0.1546063413393709,0.013159258068649324,-0.001194308814506458,0.002889162610800895,isaaclab.ArticulationData.body_com_state_w,,-0.02532413678088086,-0.12205079796615713,-0.00046842277477462957,0.1983407354833216,0.19861003022727533,safe,safe,0.22168797073944524,1.9106406724827694,4,"[[-0.30529800057411194, -0.3232140839099884, -0.00046842277477462957], [0.25586241483688354, -0.31877678632736206, -0.00046842277477462957], [0.25223368406295776, 0.07951460778713225, -0.00046842277477462957], [-0.30256497859954834, 0.07309548556804656, -0.00046842277477462957]]",False,sensor_force_with_wheel_geometry_approximation,8.304934501648024,nan,nan,success,0.19832082590785546,0.22168690941770175,146.0802999790758,"[[-0.3081181645393372, -0.3232194483280182, -0.0005504267177526894], [0.25302162766456604, -0.31877580285072327, -0.0005504267177526894], [0.24942903220653537, 0.07951547205448148, -0.0005504267177526894], [-0.3053854703903198, 0.07309018075466159, -0.0005504267177526894]]",0.03922447091586402,0.10209984332323074,0.645110419147802,rear_left_hip,0.019108158460562796,adapter.command_state,,5cm accepted steps,command,1,0.0008070544004316304,active,0,269,wheel all 0.3,0,0,,,12.722200015559793
5,1.1833333333333316,142,5,0.05,-0.0011679697781801224,-0.0009479522705078125,0.09891091287136078,0.9999809861183167,0.0001382221671519801,-0.006001473870128393,0.0014578759437426925,0.0002589588926617396,-0.012003409164672829,0.0029142510490278964,0.012651177123188972,-0.001371588441543281,0.005803157575428486,0.0034035425633192062,-0.002288848627358675,0.002562722424045205,2.9308585226535797,-0.024631193723576753,-0.12205547233571498,0.1546047663639822,0.01299315730253347,-0.0012739410314907067,0.002717418860471841,isaaclab.ArticulationData.body_com_state_w,,-0.024631193723576753,-0.12205547233571498,-0.0004710197986969261,0.19834536689106746,0.19863020055568792,safe,safe,0.22168686577673724,1.9106350453734753,4,"[[-0.3045753538608551, -0.3232135772705078, -0.0004710197986969261], [0.2565847635269165, -0.3187767267227173, -0.0004710197986969261], [0.252948135137558, 0.07951458543539047, -0.0004710197986969261], [-0.3018452525138855, 0.07309597730636597, -0.0004710197986969261]]",False,sensor_force_with_wheel_geometry_approximation,8.316645622253493,nan,nan,success,0.19832082590785546,0.22168690941770175,146.0802999790758,"[[-0.3081181645393372, -0.3232194483280182, -0.0005504267177526894], [0.25302162766456604, -0.31877580285072327, -0.0005504267177526894], [0.24942903220653537, 0.07951547205448148, -0.0005504267177526894], [-0.3053854703903198, 0.07309018075466159, -0.0005504267177526894]]",0.045283371959086445,0.1172405481338501,0.6629143703793707,rear_left_hip,0.020934435139233067,adapter.command_state,,5cm accepted steps,command,1,0.0009932977236081606,active,0,269,wheel all 0.3,0,0,,,10.404600063338876
6,1.2083333333333315,145,5,0.05,-0.0004420466721057892,-0.0009488761425018311,0.09891123324632645,0.9999797940254211,0.00015697817434556782,-0.006186744663864374,0.0014580732677131891,0.00029593120643373494,-0.012374012670979378,0.002914372441898155,0.013387693092226982,-0.0011837384663522243,0.005387930665165186,0.0029163449071347713,-0.0024331109598279,0.002154040616005659,2.9308585226535797,-0.023930525660794795,-0.12205853213360311,0.1545912799888147,0.013590344861530018,-0.0011001482482995825,0.002350213508308652,isaaclab.ArticulationData.body_com_state_w,,-0.023930525660794795,-0.12205853213360311,-0.00048353073820353153,0.19834907771984883,0.19860053833005856,safe,safe,0.22168754936971924,1.9106382907895871,4,"[[-0.3038455545902252, -0.32321280241012573, -0.00048353073820353153], [0.2573183476924896, -0.31877565383911133, -0.00048353073820353153], [0.2536690831184387, 0.07951562106609346, -0.00048353073820353153], [-0.3011237680912018, 0.07309672236442567, -0.00048353073820353153]]",False,sensor_force_with_wheel_geometry_approximation,8.125222206115795,nan,nan,success,0.19832082590785546,0.22168690941770175,146.0802999790758,"[[-0.3081181645393372, -0.3232194483280182, -0.0005504267177526894], [0.25302162766456604, -0.31877580285072327, -0.0005504267177526894], [0.24942903220653537, 0.07951547205448148, -0.0005504267177526894], [-0.3053854703903198, 0.07309018075466159, -0.0005504267177526894]]",0.05213763866129203,0.13246823847293854,0.6888766520310039,rear_left_hip,0.022601426125949037,adapter.command_state,,5cm accepted steps,command,1,0.0011795410467846906,active,0,269,wheel all 0.3,0,0,,,10.176200070418417
7,1.2333333333333314,148,5,0.05,0.00029425323009490967,-0.0009488910436630249,0.09889532625675201,0.9999786019325256,0.0001715044490993023,-0.0063823373056948185,0.0014578578993678093,0.00032441888409336534,-0.012765247022352863,0.0029137054532520075,0.012689780443906784,-0.0011981652351096272,0.005015281494706869,0.0022452683188021183,-0.002719896612688899,0.002578338608145714,2.9308585226535797,-0.023221756117855232,-0.12206021556741173,0.15456411164386105,0.013017415940118305,-0.001132962644721427,0.001993790529006194,isaaclab.ArticulationData.body_com_state_w,,-0.023221756117855232,-0.12206021556741173,-0.000509357549067886,0.19835192601339816,0.19860862243903532,safe,safe,0.2216890381516796,1.9106455108677163,4,"[[-0.303108811378479, -0.32321134209632874, -0.000509357549067886], [0.2580617666244507, -0.31877437233924866, -0.000509357549067886], [0.254396915435791, 0.07951690256595612, -0.000509357549067886], [-0.3003963828086853, 0.07309820502996445, -0.000509357549067886]]",False,sensor_force_with_wheel_geometry_approximation,8.484066963195877,nan,nan,success,0.19832082590785546,0.22168690941770175,146.0802999790758,"[[-0.3081181645393372, -0.3232194483280182, -0.0005504267177526894], [0.25302162766456604, -0.31877580285072327, -0.0005504267177526894], [0.24942903220653537, 0.07951547205448148, -0.0005504267177526894], [-0.3053854703903198, 0.07309018075466159, -0.0005504267177526894]]",0.059569889784217435,0.1478281170129776,0.5921442315817897,rear_left_hip,0.025528707784812553,adapter.command_state,,5cm accepted steps,command,1,0.0013657843699612208,active,0,269,wheel all 0.3,0,0,,,10.392799973487854
8,1.2583333333333313,151,5,0.05,0.001043848693370819,-0.0009482577443122864,0.09886375069618225,0.9999772906303406,0.00017957278760150075,-0.006584778428077698,0.0014589526690542698,0.00033995311356844516,-0.013170161149585299,0.002915730881945802,0.013697043061256409,1.623196658329107e-05,0.0056284349411726,0.018026040866971016,-0.0030435624066740274,-0.012835885398089886,2.9308585226535797,-0.022501734624814043,-0.1220605926397021,0.15452382084661076,0.01533159086779432,0.0005272180144286511,0.0017655108650051568,isaaclab.ArticulationData.body_com_state_w,,-0.022501734624814043,-0.1220605926397021,-0.0005459705200614937,0.19835339630258575,0.19828344008465018,safe,safe,0.22168994329372094,1.9106498684628712,4,"[[-0.3023626506328583, -0.32321062684059143, -0.0005459705200614937], [0.2588130831718445, -0.3187723755836487, -0.0005459705200614937], [0.2551320195198059, 0.07951879501342773, -0.0005459705200614937], [-0.2996605336666107, 0.07309886813163757, -0.0005459705200614937]]",False,sensor_force_with_wheel_geometry_approximation,8.293054580688551,nan,nan,success,0.19832082590785546,0.22168690941770175,146.0802999790758,"[[-0.3081181645393372, -0.3232194483280182, -0.0005504267177526894], [0.25302162766456604, -0.31877580285072327, -0.0005504267177526894], [0.24942903220653537, 0.07951547205448148, -0.0005504267177526894], [-0.3053854703903198, 0.07309018075466159, -0.0005504267177526894]]",0.06741666859686739,0.1633022576570511,0.6390812549046895,front_right_hip,0.02731352759158288,adapter.command_state,,5cm accepted steps,command,1,0.0015520276931377508,active,0,269,wheel all 0.3,0,0,,,9.777399944141507
9,1.2833333333333312,154,5,0.05,0.0017559416592121124,-0.0009437054395675659,0.09884129464626312,0.9999763369560242,0.000176287823705934,-0.006731090601533651,0.0014574017841368914,0.00033297763304022336,-0.013462781321498142,0.0029126290427822885,0.011117098852992058,-0.0009161864290945232,0.005775060039013624,-0.0030763952527195215,-0.0007133010076358914,0.004877051338553429,2.9308585226535797,-0.021805914379044392,-0.12205560957331871,0.1544968791803951,0.011726376306369257,-0.0009992618332029597,0.0027703516262811007,isaaclab.ArticulationData.body_com_state_w,,-0.021805914379044392,-0.12205560957331871,-0.0005802986119670403,0.19835238709393824,0.1985793562358665,safe,safe,0.22169837602008138,1.9106929216845145,4,"[[-0.3016641438007355, -0.32320544123649597, -0.0005802986119670403], [0.25956103205680847, -0.3187688887119293, -0.0005802986119670403], [0.2558605670928955, 0.07952231168746947, -0.0005802986119670403], [-0.29892510175704956, 0.07310412079095839, -0.0005802986119670403]]",False,sensor_force_with_wheel_geometry_approximation,9.499755859375085,nan,nan,success,0.19835238709393824,0.22169837602008133,150.14039992820472,"[[-0.3016641438007355, -0.32320544123649597, -0.0005802986119670403], [0.25956103205680847, -0.3187688887119293, -0.0005802986119670403], [0.25586056709289545, 0.07952231168746944, -0.0005802986119670403], [-0.29892510175704956, 0.07310412079095839, -0.0005802986119670403]]",0.07542335229659519,0.1786978542804718,0.8861495673894959,rear_right_knee,0.030260850680495832,adapter.command_state,,5cm accepted steps,command,1,0.001738271016314281,active,0,269,wheel all 0.3,0,0,,,162.18600003048778
